"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url","text_signal","mop_quest_ids","mop_npc_ids","mop_currency_ids","mop_recipe_spell_ids"
"3832","247662","Pandaren Scholar's Lectern","mop_theme","acquisition_mop_confirmed","mop","vendor","3 Pandaren Scholar's Lectern Furnishings › Tables and Desks Tan Shin Tiao (Vale of Eternal Blossoms) 400","","","64605","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3832/pandaren-scholars-lectern-3832/","True","","64605","",""
"3833","247663","Pandaren Scholar's Bookcase","mop_theme","acquisition_mop_confirmed","mop","vendor","5 Pandaren Scholar's Bookcase Furnishings › Storage Tan Shin Tiao (Vale of Eternal Blossoms) 1600","","","64605","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3833/pandaren-scholars-bookcase-3833/","True","","64605","",""
"3834","247664","Jade Temple Incense Burner","mop_theme","catalog_hidden_unobtainable","","vendor","3 Jade Temple Incense Burner Accents › Ornamental","","","","","","","Hidden catalog row with no current acquisition source","https://housing.wowdb.com/decor/3834/jade-temple-incense-burner-3834/","False","","","",""
"3839","247669","Lorewalker's Bookcase","mop_theme","acquisition_mop_confirmed","mop","crafted","5 Lorewalker's Bookcase Furnishings › Storage Crafting: Inscription Profession: Pandaria Inscription (60)","","","","1261241","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3839/lorewalkers-bookcase-3839/","True","","","","1261241"
"3840","247670","Pandaren Pantry","mop_theme","acquisition_mop_confirmed","mop","vendor","5 Pandaren Pantry Furnishings › Storage Gina Mudclaw (Valley of the Four Winds) 800","","","58706","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3840/pandaren-pantry-3840/","True","","58706","",""
"3868","247728","Pandaren Stone Post","mop_theme","acquisition_mop_confirmed","mop","crafted","1 Pandaren Stone Post Structural › Misc Structural Crafting: Jewelcrafting Profession: Pandaria Jewelcrafting (60)","","","","1261244","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3868/pandaren-stone-post-3868/","True","","","","1261244"
"3869","247729","Pandaren Stone Lamppost","mop_theme","acquisition_mop_confirmed","mop","quest","3 Pandaren Stone Lamppost Structural › Misc Structural Welcome to Dawn's Blossom Sage Lotusbloom (Shrine of Two Moons, Vale of Eternal Blossoms) 240 +1 more source","","31230","64001","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3869/pandaren-stone-lamppost-3869/","True","31230","64001","",""
"3870","247730","Red Crane Kite","mop_theme","acquisition_mop_confirmed","mop","vendor","5 Red Crane Kite Accents › Ornamental San Redscale (The Jade Forest) 800","","","58414","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3870/red-crane-kite-3870/","True","","58414","",""
"3871","247731","Hanging Paper Lanterns","mop_theme","acquisition_mop_confirmed","mop","crafted","5 Hanging Paper Lanterns Accents › Ornamental Crafting: Inscription Profession: Pandaria Inscription (60)","","","","1261237","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3871/hanging-paper-lanterns-3871/","True","","","","1261237"
"3872","247732","Lucky Hanging Lantern","mop_theme","acquisition_mop_confirmed","mop","vendor","5 Lucky Hanging Lantern Lighting › Ceiling Lights San Redscale (The Jade Forest) 400","","","58414","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3872/lucky-hanging-lantern-3872/","True","","58414","",""
"3873","247733","Halfhill Cookpot","mop_theme","acquisition_mop_confirmed","mop","crafted","3 Halfhill Cookpot Functional › Utility Crafting: Engineering Profession: Pandaria Engineering (60)","","","","1261236","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3873/halfhill-cookpot-3873/","True","","","","1261236"
"3874","247734","Paw'don Well","mop_theme","acquisition_mop_confirmed","mop","vendor","5 Paw'don Well Structural › Large Structures Gina Mudclaw (Valley of the Four Winds) 640","","","58706","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3874/pawdon-well-3874/","True","","58706","",""
"3875","247735","Lucky Traveler's Bench","mop_theme","acquisition_mop_confirmed","mop","crafted","1 Lucky Traveler's Bench Furnishings › Seating Crafting: Inscription Profession: Pandaria Inscription (60)","","","","1261240","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3875/lucky-travelers-bench-3875/","True","","","","1261240"
"3876","247736","Jade Temple Dragon Fountain","mop_theme","acquisition_mop_confirmed","mop","crafted","5 Jade Temple Dragon Fountain Structural › Large Structures Crafting: Jewelcrafting Profession: Pandaria Jewelcrafting (60)","","","","1261242","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3876/jade-temple-dragon-fountain-3876/","True","","","","1261242"
"3877","247737","Stormstout Brew Keg","mop_theme","acquisition_mop_confirmed","mop","vendor","1 Stormstout Brew Keg Furnishings › Storage Gina Mudclaw (Valley of the Four Winds) 240","","","58706","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3877/stormstout-brew-keg-3877/","True","","58706","",""
"3878","247738","Pandaren Meander Rug","mop_theme","acquisition_mop_confirmed","mop","crafted","5 Pandaren Meander Rug Accents › Floor Crafting: Tailoring Profession: Pandaria Tailoring (60)","","","","1261250","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3878/pandaren-meander-rug-3878/","True","","","","1261250"
"3879","247739","[DNT] Kun-Lai Lacquered Rickshaw - do not use - new asset","mop_theme","internal_dnt","","quest","5 [DNT] Kun-Lai Lacquered Rickshaw - do not use - new asset Miscellaneous › Miscellaneous - All The Leader Hozen Jaluu the Generous (Either Shrine in Vale of Eternal Blossoms) 1600","","30612","59908","","","","Internal DNT or duplicate row","https://housing.wowdb.com/decor/3879/dnt-kun-lai-lacquered-rickshaw-do-not-use-new-asset-3879/","True","30612","59908","",""
"3880","247740","Kotmogu Pedestal","mop_theme","acquisition_mop_confirmed","mop","achievement","1 Kotmogu Pedestal Accents › Ornamental Master of Temple of Kotmogu Joruh (Orgrimmar) 2000 Honor +1 more source","6981","","254606","","1792","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3880/kotmogu-pedestal-3880/","True","","","",""
"3881","247741","Kotmogu Orb of Power","mop_theme","acquisition_mop_confirmed","mop","achievement","1 Kotmogu Orb of Power Accents › Ornamental Master of Temple of Kotmogu Joruh (Orgrimmar) 1000 Honor +1 more source","6981","","254606","","1792","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3881/kotmogu-orb-of-power-3881/","True","","","",""
"3882","247742","Timeless Dumpling Cart","mop_theme","catalog_hidden_unobtainable","","vendor","3 Timeless Dumpling Cart Miscellaneous › Miscellaneous - All","","","","","","","Hidden catalog row with no current acquisition source","https://housing.wowdb.com/decor/3882/timeless-dumpling-cart-3882/","False","","","",""
"3883","247743","[DNT] Hanging Paper Lanterns - do not use - duplicate","mop_theme","internal_dnt","","vendor","100 [DNT] Hanging Paper Lanterns - do not use - duplicate Lighting › Ceiling Lights","","","","","","","Internal DNT or duplicate row","https://housing.wowdb.com/decor/3883/dnt-hanging-paper-lanterns-do-not-use-duplicate-3883/","False","","","",""
"3892","247752","Pandaren Fireplace","mop_theme","acquisition_mop_confirmed","mop","crafted","5 Pandaren Fireplace Lighting › Misc Lighting Crafting: Blacksmithing Profession: Pandaria Blacksmithing (60)","","","","1261234","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3892/pandaren-fireplace-3892/","True","","","","1261234"
"3904","247767","Wise Pandaren's Bed","mop_theme","acquisition_mop_confirmed","mop","crafted","3 Wise Pandaren's Bed Furnishings › Beds Crafting: Leatherworking Profession: Pandaria Leatherworking (60)","","","","1261248","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3904/wise-pandarens-bed-3904/","True","","","","1261248"
"3993","247855","Pandaren Lacquered Crate","mop_theme","acquisition_mop_confirmed","mop","vendor","1 Pandaren Lacquered Crate Furnishings › Storage Tan Shin Tiao (Vale of Eternal Blossoms) 240","","","64605","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3993/pandaren-lacquered-crate-3993/","True","","64605","",""
"3994","247856","Serenity Peak Tent","mop_theme","acquisition_mop_confirmed","mop","crafted","5 Serenity Peak Tent Structural › Large Structures Crafting: Leatherworking Profession: Pandaria Leatherworking (60)","","","","1261245","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3994/serenity-peak-tent-3994/","True","","","","1261245"
"3995","247858","Shaohao Ceremonial Bell","mop_theme","acquisition_mop_confirmed","mop","quest","5 Shaohao Ceremonial Bell Structural › Large Structures Path of the Last Emperor (Kun-Lai Summit) Tan Shin Tiao (Vale of Eternal Blossoms) 1600","","32816","64605","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3995/shaohao-ceremonial-bell-3995/","True","32816","64605","",""
"4048","248081","Pandaren Target Dummy","mop_theme","catalog_hidden_unobtainable","","vendor","3 Pandaren Target Dummy Miscellaneous › Miscellaneous - All","","","","","","","Hidden catalog row with no current acquisition source","https://housing.wowdb.com/decor/4048/pandaren-target-dummy-4048/","True","","","",""
"4424","248402","Grummle Kafa Refinery","mop_theme","acquisition_midnight_confirmed","midnight","vendor","5 Grummle Kafa Refinery Miscellaneous › Miscellaneous - All Brother Dovetail (Razorwind Shores) Cursed Keepsake","","","249684;262726","","","","Midnight acquisition; Pandaria theme or vendor location alone does not assign ownership","https://housing.wowdb.com/decor/4424/grummle-kafa-refinery-4424/","True","","","",""
"4425","248403","Grummle Tent","mop_theme","acquisition_midnight_confirmed","midnight","vendor","5 Grummle Tent Structural › Large Structures Brother Dovetail (Razorwind Shores) Cursed Keepsake","","","249684;262726","","","","Midnight acquisition; Pandaria theme or vendor location alone does not assign ownership","https://housing.wowdb.com/decor/4425/grummle-tent-4425/","True","","","",""
"4488","248663","Wooden Doghouse","global_acquisition_match","acquisition_mop_confirmed","mop","quest","3 Wooden Doghouse Structural › Misc Structural Lost and Lonely (Valley of the Four Winds) Gina Mudclaw (Valley of the Four Winds) 240","","30526","58706","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/4488/wooden-doghouse-4488/","True","30526","58706","",""
"5111","248934","Golden Cloud Serpent Treasure Chest","mop_theme","acquisition_mop_confirmed","mop","drop","3 Golden Cloud Serpent Treasure Chest Furnishings › Storage Treasure: Golden Cloud Serpent Treasure Chest (Jade Forest) Second Chair Pawdo (Dornogal)","","","252312","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/5111/golden-cloud-serpent-treasure-chest-5111/","True","","","",""
"5112","248935","Five Dawns Weapon Rack","mop_theme","acquisition_legion_confirmed","legion","vendor","3 Five Dawns Weapon Rack Furnishings › Storage Caydori Brightstar (Mandori Village) 500 Order Resources","","","112338","","1220","","Legion class-hall acquisition; Pandaria theme does not assign ownership","https://housing.wowdb.com/decor/5112/five-dawns-weapon-rack-5112/","False","","","",""
"5113","248936","Five Dawns Shrine of the Smoking Fish","mop_theme","acquisition_legion_confirmed","legion","vendor","3 Five Dawns Shrine of the Smoking Fish Structural › Misc Structural Caydori Brightstar (Mandori Village) 500 Order Resources","","","112338","","1220","","Legion class-hall acquisition; Pandaria theme does not assign ownership","https://housing.wowdb.com/decor/5113/five-dawns-shrine-of-the-smoking-fish-5113/","False","","","",""
"5114","248937","Ironpaw Stew Cart","mop_theme","catalog_hidden_unobtainable","","vendor","5 Ironpaw Stew Cart Miscellaneous › Miscellaneous - All","","","","","","","Hidden catalog row with no current acquisition source","https://housing.wowdb.com/decor/5114/ironpaw-stew-cart-5114/","True","","","",""
"5119","248942","Five Dawns Planning Table","mop_theme","acquisition_legion_confirmed","legion","achievement","3 Five Dawns Planning Table Furnishings › Tables and Desks Raise an Army for the Temple of Five Dawns Caydori Brightstar (Mandori Village) 2000 Order Resources","60986","","112338","","1220","","Legion class-hall acquisition; Pandaria theme does not assign ownership","https://housing.wowdb.com/decor/5119/five-dawns-planning-table-5119/","False","","","",""
"5126","248958","Monastery Gong","mop_theme","acquisition_legion_confirmed","legion","achievement","5 Monastery Gong Structural › Large Structures The Grandmaster's Campaign Caydori Brightstar (Mandori Village) 1500 Order Resources","42275","","112338","","1220","","Legion class-hall acquisition; Pandaria theme does not assign ownership","https://housing.wowdb.com/decor/5126/monastery-gong-5126/","False","","","",""
"8179","251472","Pandaren Wooden Cart","mop_theme","acquisition_midnight_confirmed","midnight","vendor","5 Pandaren Wooden Cart Accents › Ornamental Brother Dovetail (Razorwind Shores) Cursed Keepsake","","","249684;262726","","","","Midnight acquisition; Pandaria theme or vendor location alone does not assign ownership","https://housing.wowdb.com/decor/8179/pandaren-wooden-cart-8179/","True","","","",""
"8987","252039","Open Sack of Roasted Kafa","mop_theme","acquisition_midnight_confirmed","midnight","vendor","1 Open Sack of Roasted Kafa Accents › Food and Drink Brother Dovetail (Razorwind Shores) Cursed Keepsake","","","249684;262726","","","","Midnight acquisition; Pandaria theme or vendor location alone does not assign ownership","https://housing.wowdb.com/decor/8987/open-sack-of-roasted-kafa-8987/","False","","","",""
"8988","252040","Sealed Sack of Roasted Kafa","mop_theme","acquisition_midnight_confirmed","midnight","vendor","1 Sealed Sack of Roasted Kafa Accents › Food and Drink Brother Dovetail (Razorwind Shores) Cursed Keepsake","","","249684;262726","","","","Midnight acquisition; Pandaria theme or vendor location alone does not assign ownership","https://housing.wowdb.com/decor/8988/sealed-sack-of-roasted-kafa-8988/","False","","","",""
"9250","253176","Ancient Zandalari Ritual Scroll","mop_theme","acquisition_midnight_confirmed","midnight","quest","1 Ancient Zandalari Ritual Scroll Accents › Ornamental Timear Foresees a Proof of Demise! (Dalaran, Arcantina) Morta Gage (Arcantina) 150 Voidlight Marl","","92322","252873","","3316","","Midnight acquisition; Pandaria theme or vendor location alone does not assign ownership","https://housing.wowdb.com/decor/9250/ancient-zandalari-ritual-scroll-9250/","False","","","",""
"11378","257043","Pandaren Alchemist's Retort","mop_theme","acquisition_mop_confirmed","mop","crafted","1 Pandaren Alchemist's Retort Accents › Ornamental Crafting: Alchemy Profession: Pandaria Alchemy (60)","","","","1261233","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/11378/pandaren-alchemists-retort-11378/","True","","","","1261233"
"11434","257096","Pandaren Table Lamp","mop_theme","acquisition_mop_confirmed","mop","crafted","1 Pandaren Table Lamp Lighting › Small Lights Crafting: Enchanting Profession: Pandaria Enchanting (60)","","","","1262306","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/11434/pandaren-table-lamp-11434/","True","","","","1262306"
"11435","257097","Intense Mogu Brazier","mop_theme","acquisition_mop_confirmed","mop","crafted","3 Intense Mogu Brazier Lighting › Large Lights Crafting: Enchanting Profession: Pandaria Enchanting (60)","","","","1262302","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/11435/intense-mogu-brazier-11435/","True","","","","1262302"
"11453","257351","Tale of the Penultimate Lich King","global_acquisition_match","acquisition_tww_confirmed","tww","achievement","1 Tale of the Penultimate Lich King Accents › Ornamental Lorewalking: The Lich King Lali the Assistant (Vale of Eternal Blossoms) 2000","42189","","62088","","","","The War Within acquisition; Pandaria location or theme alone does not assign ownership","https://housing.wowdb.com/decor/11453/tale-of-the-penultimate-lich-king-11453/","True","","62088","",""
"11456","257354","Scroll of K'aresh's Fall","global_acquisition_match","acquisition_tww_confirmed","tww","achievement","1 Scroll of K'aresh's Fall Accents › Wall Hangings Lorewalking: Ethereal Wisdom Lali the Assistant (Vale of Eternal Blossoms) 2000","42187","","62088","","","","The War Within acquisition; Pandaria location or theme alone does not assign ownership","https://housing.wowdb.com/decor/11456/scroll-of-kareshs-fall-11456/","True","","62088","",""
"11457","257355","Tome of the Survivor","global_acquisition_match","acquisition_tww_confirmed","tww","achievement","1 Tome of the Survivor Accents › Ornamental Lorewalking: Blade's Bane Lali the Assistant (Vale of Eternal Blossoms) 2000","42188","","62088","","","","The War Within acquisition; Pandaria location or theme alone does not assign ownership","https://housing.wowdb.com/decor/11457/tome-of-the-survivor-11457/","True","","62088","",""
"11873","258147","Empty Lorewalker's Bookcase","mop_theme","acquisition_mop_confirmed","mop","vendor","5 Empty Lorewalker's Bookcase Furnishings › Storage Tan Shin Tiao (Vale of Eternal Blossoms) 800","","","64605","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/11873/empty-lorewalkers-bookcase-11873/","True","","64605","",""
"11902","258214","Pandaren Alchemist's Kit","mop_theme","acquisition_mop_confirmed","mop","crafted","1 Pandaren Alchemist's Kit Accents › Ornamental Crafting: Alchemy Profession: Pandaria Alchemy (60)","","","","1263548","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/11902/pandaren-alchemists-kit-11902/","True","","","","1263548"
"11904","258216","Reconstructed Mogu Lightning Drill","mop_theme","acquisition_mop_confirmed","mop","crafted","5 Reconstructed Mogu Lightning Drill Miscellaneous › Miscellaneous - All Crafting: Engineering Profession: Pandaria Engineering (60)","","","","1263551","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/11904/reconstructed-mogu-lightning-drill-11904/","True","","","","1263551"
"11945","258302","Pandaren Fishing Net","mop_theme","acquisition_mop_confirmed","mop","crafted","3 Pandaren Fishing Net Accents › Ornamental Crafting: Tailoring Profession: Pandaria Tailoring (60)","","","","1263553","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/11945/pandaren-fishing-net-11945/","True","","","","1263553"
"12263","259071","Brawler's Guild Punching Bag","mop_theme","acquisition_tww_confirmed","tww","vendor","3 Brawler's Guild Punching Bag Accents › Misc Accents ""Bad Luck"" Symmes (Brawl'gar Arena) 4000 Dershway the Triggered (Deeprun Tram) 4000 +2 more sources","","","145695;151941","","","","The War Within acquisition; Pandaria location or theme alone does not assign ownership","https://housing.wowdb.com/decor/12263/brawlers-guild-punching-bag-12263/","False","","","",""
"14815","263026","Brawler's Barricade","mop_theme","acquisition_tww_confirmed","tww","vendor","5 Brawler's Barricade Miscellaneous › Miscellaneous - All ""Bad Luck"" Symmes (Brawl'gar Arena) 500 Dershway the Triggered (Deeprun Tram) 500 +2 more sources","","","145695;151941","","","","The War Within acquisition; Pandaria location or theme alone does not assign ownership","https://housing.wowdb.com/decor/14815/brawlers-barricade-14815/","False","","","",""
"15595","264349","Kun-Lai Lacquered Rickshaw","mop_theme","acquisition_mop_confirmed","mop","quest","5 Kun-Lai Lacquered Rickshaw Miscellaneous › Miscellaneous - All The Leader Hozen (Kun-Lai Summit) Brother Furtrim (Kun-Lai Summit)","","30612","59698","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/15595/kun-lai-lacquered-rickshaw-15595/","True","30612","59698","",""
"15605","264362","Golden Pandaren Privacy Screen","mop_theme","acquisition_mop_confirmed","mop","quest","3 Golden Pandaren Privacy Screen Furnishings › Misc Furnishings The Jade Serpent (The Jade Forest)","","30000","","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/15605/golden-pandaren-privacy-screen-15605/","True","30000","","",""
"16091","264714","[DNT] 12PH_Leg_PA_innBench_01.M2","mop_theme","internal_dnt","","vendor","3 [DNT] 12PH_Leg_PA_innBench_01.M2 Furnishings › Seating","","","","","","","Internal DNT or duplicate row","https://housing.wowdb.com/decor/16091/dnt-12ph_leg_pa_innbench_01m2-16091/","False","","","",""
"16962","265541","Loammy Soil","mop_theme","acquisition_midnight_confirmed","midnight","vendor","1 Loammy Soil Nature › Misc Nature Harlowe Marl (Founder's Point) 1 Community Coupons","","","257897","","3363","","Midnight acquisition; Pandaria theme or vendor location alone does not assign ownership","https://housing.wowdb.com/decor/16962/loammy-soil-16962/","False","","","",""
"21857","271971","Tome of Kings","global_acquisition_match","acquisition_midnight_confirmed","midnight","achievement","1 Tome of Kings Accents › Ornamental Lorewalking: The Loa Lali the Assistant (Vale of Eternal Blossoms)","61442","","62088","","","","Midnight acquisition; Pandaria theme or vendor location alone does not assign ownership","https://housing.wowdb.com/decor/21857/tome-of-kings-21857/","True","","62088","",""
"26196","277929","Rustic Fishing Rack","mop_theme","acquisition_midnight_confirmed","midnight","vendor","5 Rustic Fishing Rack Accents › Ornamental Second Mate Sluggs (The Coiled Isle) 500 Voidlight Marl","","","257598","","3316","","Midnight acquisition; Pandaria theme or vendor location alone does not assign ownership","https://housing.wowdb.com/decor/26196/rustic-fishing-rack-26196/","False","","","",""
"26651","278694","Stormstout Hanging Lantern","mop_theme","acquisition_midnight_confirmed","midnight","vendor","5 Stormstout Hanging Lantern Lighting › Ceiling Lights Moments in a Mug (Arcantina) Morta Gage (Arcantina) 250 Voidlight Marl","","","252873","","3316","","Midnight acquisition; Pandaria theme or vendor location alone does not assign ownership","https://housing.wowdb.com/decor/26651/stormstout-hanging-lantern-26651/","True","","","",""
