"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url","text_signal","mop_quest_ids","mop_npc_ids","mop_currency_ids","mop_recipe_spell_ids"
"3839","247669","Lorewalker's Bookcase","mop_theme","acquisition_mop_confirmed","mop","crafted","5 Lorewalker's Bookcase Furnishings › Storage Crafting: Inscription Profession: Pandaria Inscription (60)","","","","1261241","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3839/lorewalkers-bookcase-3839/","True","","","","1261241"
"3840","247670","Pandaren Pantry","mop_theme","acquisition_mop_confirmed","mop","vendor","5 Pandaren Pantry Furnishings › Storage Gina Mudclaw (Valley of the Four Winds) 800","","","58706","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3840/pandaren-pantry-3840/","True","","58706","",""
"3868","247728","Pandaren Stone Post","mop_theme","acquisition_mop_confirmed","mop","crafted","1 Pandaren Stone Post Structural › Misc Structural Crafting: Jewelcrafting Profession: Pandaria Jewelcrafting (60)","","","","1261244","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3868/pandaren-stone-post-3868/","True","","","","1261244"
"3869","247729","Pandaren Stone Lamppost","mop_theme","acquisition_mop_confirmed","mop","quest","3 Pandaren Stone Lamppost Structural › Misc Structural Welcome to Dawn's Blossom Sage Lotusbloom (Shrine of Two Moons, Vale of Eternal Blossoms) 240 +1 more source","","31230","64001","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3869/pandaren-stone-lamppost-3869/","True","31230","64001","",""
"3870","247730","Red Crane Kite","mop_theme","acquisition_mop_confirmed","mop","vendor","5 Red Crane Kite Accents › Ornamental San Redscale (The Jade Forest) 800","","","58414","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3870/red-crane-kite-3870/","True","","58414","",""
"3871","247731","Hanging Paper Lanterns","mop_theme","acquisition_mop_confirmed","mop","crafted","5 Hanging Paper Lanterns Accents › Ornamental Crafting: Inscription Profession: Pandaria Inscription (60)","","","","1261237","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3871/hanging-paper-lanterns-3871/","True","","","","1261237"
"3872","247732","Lucky Hanging Lantern","mop_theme","acquisition_mop_confirmed","mop","vendor","5 Lucky Hanging Lantern Lighting › Ceiling Lights San Redscale (The Jade Forest) 400","","","58414","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3872/lucky-hanging-lantern-3872/","True","","58414","",""
"3873","247733","Halfhill Cookpot","mop_theme","acquisition_mop_confirmed","mop","crafted","3 Halfhill Cookpot Functional › Utility Crafting: Engineering Profession: Pandaria Engineering (60)","","","","1261236","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3873/halfhill-cookpot-3873/","True","","","","1261236"
"3874","247734","Paw'don Well","mop_theme","acquisition_mop_confirmed","mop","vendor","5 Paw'don Well Structural › Large Structures Gina Mudclaw (Valley of the Four Winds) 640","","","58706","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3874/pawdon-well-3874/","True","","58706","",""
"3875","247735","Lucky Traveler's Bench","mop_theme","acquisition_mop_confirmed","mop","crafted","1 Lucky Traveler's Bench Furnishings › Seating Crafting: Inscription Profession: Pandaria Inscription (60)","","","","1261240","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3875/lucky-travelers-bench-3875/","True","","","","1261240"
"3876","247736","Jade Temple Dragon Fountain","mop_theme","acquisition_mop_confirmed","mop","crafted","5 Jade Temple Dragon Fountain Structural › Large Structures Crafting: Jewelcrafting Profession: Pandaria Jewelcrafting (60)","","","","1261242","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3876/jade-temple-dragon-fountain-3876/","True","","","","1261242"
"3877","247737","Stormstout Brew Keg","mop_theme","acquisition_mop_confirmed","mop","vendor","1 Stormstout Brew Keg Furnishings › Storage Gina Mudclaw (Valley of the Four Winds) 240","","","58706","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3877/stormstout-brew-keg-3877/","True","","58706","",""
"3878","247738","Pandaren Meander Rug","mop_theme","acquisition_mop_confirmed","mop","crafted","5 Pandaren Meander Rug Accents › Floor Crafting: Tailoring Profession: Pandaria Tailoring (60)","","","","1261250","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3878/pandaren-meander-rug-3878/","True","","","","1261250"
"3880","247740","Kotmogu Pedestal","mop_theme","acquisition_mop_confirmed","mop","achievement","1 Kotmogu Pedestal Accents › Ornamental Master of Temple of Kotmogu Joruh (Orgrimmar) 2000 Honor +1 more source","6981","","254606","","1792","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3880/kotmogu-pedestal-3880/","True","","","",""
"3881","247741","Kotmogu Orb of Power","mop_theme","acquisition_mop_confirmed","mop","achievement","1 Kotmogu Orb of Power Accents › Ornamental Master of Temple of Kotmogu Joruh (Orgrimmar) 1000 Honor +1 more source","6981","","254606","","1792","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3881/kotmogu-orb-of-power-3881/","True","","","",""
"3892","247752","Pandaren Fireplace","mop_theme","acquisition_mop_confirmed","mop","crafted","5 Pandaren Fireplace Lighting › Misc Lighting Crafting: Blacksmithing Profession: Pandaria Blacksmithing (60)","","","","1261234","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3892/pandaren-fireplace-3892/","True","","","","1261234"
"3904","247767","Wise Pandaren's Bed","mop_theme","acquisition_mop_confirmed","mop","crafted","3 Wise Pandaren's Bed Furnishings › Beds Crafting: Leatherworking Profession: Pandaria Leatherworking (60)","","","","1261248","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3904/wise-pandarens-bed-3904/","True","","","","1261248"
"3993","247855","Pandaren Lacquered Crate","mop_theme","acquisition_mop_confirmed","mop","vendor","1 Pandaren Lacquered Crate Furnishings › Storage Tan Shin Tiao (Vale of Eternal Blossoms) 240","","","64605","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3993/pandaren-lacquered-crate-3993/","True","","64605","",""
"3994","247856","Serenity Peak Tent","mop_theme","acquisition_mop_confirmed","mop","crafted","5 Serenity Peak Tent Structural › Large Structures Crafting: Leatherworking Profession: Pandaria Leatherworking (60)","","","","1261245","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3994/serenity-peak-tent-3994/","True","","","","1261245"
"3995","247858","Shaohao Ceremonial Bell","mop_theme","acquisition_mop_confirmed","mop","quest","5 Shaohao Ceremonial Bell Structural › Large Structures Path of the Last Emperor (Kun-Lai Summit) Tan Shin Tiao (Vale of Eternal Blossoms) 1600","","32816","64605","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3995/shaohao-ceremonial-bell-3995/","True","32816","64605","",""
"4488","248663","Wooden Doghouse","global_acquisition_match","acquisition_mop_confirmed","mop","quest","3 Wooden Doghouse Structural › Misc Structural Lost and Lonely (Valley of the Four Winds) Gina Mudclaw (Valley of the Four Winds) 240","","30526","58706","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/4488/wooden-doghouse-4488/","True","30526","58706","",""
"5111","248934","Golden Cloud Serpent Treasure Chest","mop_theme","acquisition_mop_confirmed","mop","drop","3 Golden Cloud Serpent Treasure Chest Furnishings › Storage Treasure: Golden Cloud Serpent Treasure Chest (Jade Forest) Second Chair Pawdo (Dornogal)","","","252312","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/5111/golden-cloud-serpent-treasure-chest-5111/","True","","","",""
"11378","257043","Pandaren Alchemist's Retort","mop_theme","acquisition_mop_confirmed","mop","crafted","1 Pandaren Alchemist's Retort Accents › Ornamental Crafting: Alchemy Profession: Pandaria Alchemy (60)","","","","1261233","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/11378/pandaren-alchemists-retort-11378/","True","","","","1261233"
"11434","257096","Pandaren Table Lamp","mop_theme","acquisition_mop_confirmed","mop","crafted","1 Pandaren Table Lamp Lighting › Small Lights Crafting: Enchanting Profession: Pandaria Enchanting (60)","","","","1262306","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/11434/pandaren-table-lamp-11434/","True","","","","1262306"
"11435","257097","Intense Mogu Brazier","mop_theme","acquisition_mop_confirmed","mop","crafted","3 Intense Mogu Brazier Lighting › Large Lights Crafting: Enchanting Profession: Pandaria Enchanting (60)","","","","1262302","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/11435/intense-mogu-brazier-11435/","True","","","","1262302"
"11873","258147","Empty Lorewalker's Bookcase","mop_theme","acquisition_mop_confirmed","mop","vendor","5 Empty Lorewalker's Bookcase Furnishings › Storage Tan Shin Tiao (Vale of Eternal Blossoms) 800","","","64605","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/11873/empty-lorewalkers-bookcase-11873/","True","","64605","",""
"11902","258214","Pandaren Alchemist's Kit","mop_theme","acquisition_mop_confirmed","mop","crafted","1 Pandaren Alchemist's Kit Accents › Ornamental Crafting: Alchemy Profession: Pandaria Alchemy (60)","","","","1263548","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/11902/pandaren-alchemists-kit-11902/","True","","","","1263548"
"11904","258216","Reconstructed Mogu Lightning Drill","mop_theme","acquisition_mop_confirmed","mop","crafted","5 Reconstructed Mogu Lightning Drill Miscellaneous › Miscellaneous - All Crafting: Engineering Profession: Pandaria Engineering (60)","","","","1263551","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/11904/reconstructed-mogu-lightning-drill-11904/","True","","","","1263551"
"11945","258302","Pandaren Fishing Net","mop_theme","acquisition_mop_confirmed","mop","crafted","3 Pandaren Fishing Net Accents › Ornamental Crafting: Tailoring Profession: Pandaria Tailoring (60)","","","","1263553","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/11945/pandaren-fishing-net-11945/","True","","","","1263553"
"15595","264349","Kun-Lai Lacquered Rickshaw","mop_theme","acquisition_mop_confirmed","mop","quest","5 Kun-Lai Lacquered Rickshaw Miscellaneous › Miscellaneous - All The Leader Hozen (Kun-Lai Summit) Brother Furtrim (Kun-Lai Summit)","","30612","59698","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/15595/kun-lai-lacquered-rickshaw-15595/","True","30612","59698","",""
"15605","264362","Golden Pandaren Privacy Screen","mop_theme","acquisition_mop_confirmed","mop","quest","3 Golden Pandaren Privacy Screen Furnishings › Misc Furnishings The Jade Serpent (The Jade Forest)","","30000","","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/15605/golden-pandaren-privacy-screen-15605/","True","30000","","",""
