decor_id,catalog_name,status,acquisition_expansion,source_text,classification_note,acquisition_source_url
"11927","Cartel Ta Bookcase","acquisition_shadowlands_confirmed","shadowlands","Crafting: Inscription; Profession: Shadowlands Inscription (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands"
"11928","Cartel Xy Capture Crate","acquisition_shadowlands_confirmed","shadowlands","Crafting: Engineering; Profession: Shadowlands Engineering (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands"
"21877","[DNT] [AUTOGEN] 9MW_IronMaiden_Torch01.m2","internal_dnt","","","Internal autogenerated row with no acquisition source","https://housing.wowdb.com/decor/?tags=shadowlands"
"21878","[DNT] [AUTOGEN] 9MW_IronMaiden_Torch02.m2","internal_dnt","","","Internal autogenerated row with no acquisition source","https://housing.wowdb.com/decor/?tags=shadowlands"
"16090","Heart of the Forest Banner","acquisition_shadowlands_confirmed","shadowlands","Crafting: Tailoring; Profession: Shadowlands Tailoring (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands"
"11922","Hollow Night Fae Shrine","acquisition_shadowlands_confirmed","shadowlands","Crafting: Inscription; Profession: Shadowlands Inscription (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands"
"11921","Kyrian Anima Barrel","acquisition_shadowlands_confirmed","shadowlands","Crafting: Engineering; Profession: Shadowlands Engineering (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands"
"12165","Kyrian Aspirant's Rolled Cushion","acquisition_shadowlands_confirmed","shadowlands","Crafting: Tailoring; Profession: Shadowlands Tailoring (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands"
"14676","Kyrian Floating Lamp","acquisition_shadowlands_confirmed","shadowlands","Crafting: Jewelcrafting; Profession: Shadowlands Jewelcrafting (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands"
"11925","Large Revendreth Storage Crate","acquisition_shadowlands_confirmed","shadowlands","Crafting: Inscription; Profession: Shadowlands Inscription (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands"
"2528","""Light's Vengeance"" Painting","catalog_hidden_unobtainable","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/?tags=shadowlands"
"11919","Maldraxxian Crate","acquisition_shadowlands_confirmed","shadowlands","Crafting: Leatherworking; Profession: Shadowlands Leatherworking (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands"
"14380","Maldraxxian Runic Tablet","acquisition_shadowlands_confirmed","shadowlands","Crafting: Jewelcrafting; Profession: Shadowlands Jewelcrafting (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands"
"11926","Margrave's Stitched Leather Rug","acquisition_shadowlands_confirmed","shadowlands","Crafting: Leatherworking; Profession: Shadowlands Leatherworking (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands"
"4181","Portal to Damnation","acquisition_shadowlands_confirmed","shadowlands","Achievement: Back from the Beyond; Vendor: Ve'nari (The Maw), 10000 Stygia","Acquisition requirements are Shadowlands content","https://housing.wowdb.com/decor/?page=2&tags=shadowlands"
"11386","Sintallow Candles","acquisition_shadowlands_confirmed","shadowlands","Crafting: Alchemy; Profession: Shadowlands Alchemy (140)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?page=2&tags=shadowlands"
"26378","Stretched Snakeskin Rack","acquisition_midnight_confirmed","midnight","Crafting: Leatherworking; Profession: Midnight Leatherworking","The acquisition source is Midnight content despite the Shadowlands theme tag","https://housing.wowdb.com/decor/?page=2&tags=shadowlands"
"2527","""Tea and Sin"" Painting","catalog_hidden_unobtainable","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/?page=2&tags=shadowlands"
"11920","Tome of Maldraxxian Rituals","acquisition_shadowlands_confirmed","shadowlands","Crafting: Inscription; Profession: Shadowlands Inscription (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?page=2&tags=shadowlands"
"11385","Veil-Secured Animacone","acquisition_shadowlands_confirmed","shadowlands","Crafting: Alchemy; Profession: Shadowlands Alchemy (140)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?page=2&tags=shadowlands"
"11436","Venthyr Anima Bottle","acquisition_shadowlands_confirmed","shadowlands","Crafting: Enchanting; Profession: Shadowlands Enchanting (90)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?page=2&tags=shadowlands"
"4158","Venthyr's Target Dummy","catalog_hidden_unobtainable","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/?page=2&tags=shadowlands"
"756","Venthyr Tome of Unforgiven Sins","acquisition_shadowlands_confirmed","shadowlands","Vendor: Chachi the Artiste (Sinfall), 1500 Reservoir Anima","Acquisition vendor and currency are Shadowlands content","https://housing.wowdb.com/decor/?page=2&tags=shadowlands"
"4405","Stormwind Wooden Table","acquisition_shadowlands_confirmed","shadowlands","Quest: Welcome to Stormwind (59583); Vendor: Captain Lancy Revshon (Stormwind City), 285 gold","Requires the Exile's Reach new-player quest introduced with Shadowlands","https://housing.wowdb.com/decor/4405/stormwind-wooden-table-4405/"
