"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url","tbc_achievement_ids","tbc_recipe_spell_ids","tbc_text_signal"
"3915","247778","Green Zangarmarsh Tree","tbc_theme","internal_hidden","","vendor","100 Green Zangarmarsh Tree Nature › Large Foliage","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3915/green-zangarmarsh-tree-3915/","","","False"
"3916","247779","Purple Zangarmarsh Tree","tbc_theme","internal_hidden","","vendor","100 Purple Zangarmarsh Tree Nature › Large Foliage","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3916/purple-zangarmarsh-tree-3916/","","","False"
"3917","247780","Withered Zangarmarsh Tree","tbc_theme","internal_hidden","","vendor","100 Withered Zangarmarsh Tree Nature › Large Foliage","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3917/withered-zangarmarsh-tree-3917/","","","False"
"3918","247781","Glowing Withered Zangarmarsh Tree","tbc_theme","internal_hidden","","vendor","100 Glowing Withered Zangarmarsh Tree Nature › Large Foliage","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3918/glowing-withered-zangarmarsh-tree-3918/","","","False"
"3919","247782","Pulsing Zangarshroom","tbc_theme","internal_hidden","","vendor","100 Pulsing Zangarshroom Nature › Small Foliage","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3919/pulsing-zangarshroom-3919/","","","False"
"3920","247783","[DNT] Orange Spore Light - endeavor canceled (inside only)","tbc_theme","internal_hidden","","vendor","100 [DNT] Orange Spore Light - endeavor canceled (inside only) Lighting › Small Lights","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3920/dnt-orange-spore-light-endeavor-canceled-inside-only-3920/","","","False"
"3921","247784","[DNT] Spore Light - endeavor canceled (inside only)","tbc_theme","internal_hidden","","vendor","100 [DNT] Spore Light - endeavor canceled (inside only) Lighting › Small Lights","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3921/dnt-spore-light-endeavor-canceled-inside-only-3921/","","","False"
"4157","248101","Traditional Brewfest Stein","tbc_theme","acquisition_midnight_confirmed","midnight","vendor","1 Traditional Brewfest Stein Accents › Food and Drink Unknown Vendor (Razorwind Shores)","","","271366","","","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/4157/traditional-brewfest-stein-4157/","","","False"
"11370","257035","Bronze Banner of the Exiled","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Bronze Banner of the Exiled Accents › Ornamental Crafting: Blacksmithing Profession: Outland Blacksmithing (60)","","","","1261347","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11370/bronze-banner-of-the-exiled-11370/","","1261347","False"
"11371","257036","Draenei Smith's Anvil","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Draenei Smith's Anvil Furnishings › Tables and Desks Crafting: Blacksmithing Profession: Outland Blacksmithing (60)","","","","1261383","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11371/draenei-smiths-anvil-11371/","","1261383","False"
"11372","257037","Draenei Holo-Dais","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","1 Draenei Holo-Dais Accents › Ornamental Crafting: Enchanting Profession: Outland Enchanting (60)","","","","1261331","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11372/draenei-holo-dais-11372/","","1261331","False"
"11373","257038","Draenei Holo-Path","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","1 Draenei Holo-Path Accents › Ornamental Crafting: Enchanting Profession: Outland Enchanting (60)","","","","1261340","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11373/draenei-holo-path-11373/","","1261340","False"
"11374","257039","Draenei Crystal Forge","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Draenei Crystal Forge Accents › Misc Accents Crafting: Blacksmithing Profession: Outland Blacksmithing (60)","","","","1261359","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11374/draenei-crystal-forge-11374/","","1261359","False"
"11431","257093","Aldor Stellar Console","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Aldor Stellar Console Miscellaneous › Miscellaneous - All Crafting: Enchanting Profession: Outland Enchanting (60)","","","","1262828","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11431/aldor-stellar-console-11431/","","1262828","False"
"11878","258190","Outland Mag'har Banner","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Outland Mag'har Banner Accents › Wall Hangings Crafting: Leatherworking Profession: Outland Leatherworking (60)","","","","1263819","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11878/outland-maghar-banner-11878/","","1263819","False"
"11879","258191","Arakkoa Decoy Scarecrow","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Arakkoa Decoy Scarecrow Miscellaneous › Miscellaneous - All Crafting: Leatherworking Profession: Outland Leatherworking (60)","","","","1263818","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11879/arakkoa-decoy-scarecrow-11879/","","1263818","False"
"11880","258192","Talon King's Totem","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Talon King's Totem Miscellaneous › Miscellaneous - All Crafting: Inscription Profession: Outland Inscription (60)","","","","1263814","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11880/talon-kings-totem-11880/","","1263814","False"
"11881","258193","Draenei Holo-Projector Pedestal","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","5 Draenei Holo-Projector Pedestal Miscellaneous › Miscellaneous - All Crafting: Engineering Profession: Outland Engineering (60)","","","","1263654","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11881/draenei-holo-projector-pedestal-11881/","","1263654","False"
"11882","258194","Tempest Keep Cryo-Pod","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","5 Tempest Keep Cryo-Pod Miscellaneous › Miscellaneous - All Crafting: Engineering Profession: Outland Engineering (60)","","","","1263643","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11882/tempest-keep-cryo-pod-11882/","","1263643","False"
"11883","258195","Draenei Weaver's Loom","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Draenei Weaver's Loom Furnishings › Misc Furnishings Crafting: Tailoring Profession: Outland Tailoring (60)","","","","1263692","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11883/draenei-weavers-loom-11883/","","1263692","False"
"11884","258196","Draenei Transmitter","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","1 Draenei Transmitter Miscellaneous › Miscellaneous - All Crafting: Engineering Profession: Outland Engineering (60)","","","","1263663","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11884/draenei-transmitter-11884/","","1263663","False"
"11885","258197","Crystal Signpost","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Crystal Signpost Miscellaneous › Miscellaneous - All Crafting: Inscription Profession: Outland Inscription (60)","","","","1263813","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11885/crystal-signpost-11885/","","1263813","False"
"11886","258198","Gilded Draenei Round Table","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Gilded Draenei Round Table Furnishings › Tables and Desks Crafting: Inscription Profession: Outland Inscription (60)","","","","1263811","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11886/gilded-draenei-round-table-11886/","","1263811","False"
"11887","258199","Aldor Bookcase","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Aldor Bookcase Furnishings › Storage Crafting: Inscription Profession: Outland Inscription (60)","","","","1263810","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11887/aldor-bookcase-11887/","","1263810","False"
"11888","258200","Shattrath Sconce","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","1 Shattrath Sconce Lighting › Wall Lights Crafting: Jewelcrafting Profession: Outland Jewelcrafting (60)","","","","1263817","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11888/shattrath-sconce-11888/","","1263817","False"
"11889","258201","Shattrath Lamppost","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Shattrath Lamppost Lighting › Large Lights Crafting: Jewelcrafting Profession: Outland Jewelcrafting (60)","","","","1263815","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11889/shattrath-lamppost-11889/","","1263815","False"
"11890","258202","Grand Drape of the Exiles","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","5 Grand Drape of the Exiles Accents › Wall Hangings Crafting: Tailoring Profession: Outland Tailoring (60)","","","","1263669","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11890/grand-drape-of-the-exiles-11890/","","1263669","False"
"11899","258211","Kirin Tor Glass Table","tbc_theme","acquisition_wrath_confirmed","wrath","crafted","3 Kirin Tor Glass Table Furnishings › Tables and Desks Crafting: Jewelcrafting Profession: Northrend Jewelcrafting (60)","","","","1263577","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11899/kirin-tor-glass-table-11899/","","","False"
"11903","258215","Halaa Bench","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Halaa Bench Furnishings › Seating Crafting: Inscription Profession: Outland Inscription (60)","","","","1263812","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11903/halaa-bench-11903/","","1263812","False"
"14467","260785","Miniature Replica Dark Portal","tbc_theme","acquisition_midnight_confirmed","midnight","achievement","5 Miniature Replica Dark Portal Structural › Large Structures It's Nearly Midnight Drop: Log in before Midnight launches +3 more sources","62387","","","","","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/14467/miniature-replica-dark-portal-14467/","","","False"
"14553","262347","Draenei Crystal Chandelier","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","1 Draenei Crystal Chandelier Lighting › Ceiling Lights Crafting: Jewelcrafting Profession: Outland Jewelcrafting (60)","","","","1269496","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/14553/draenei-crystal-chandelier-14553/","","1269496","False"
"14829","263043","Consortium Energy Barrel","tbc_theme","acquisition_midnight_confirmed","midnight","vendor","1 Consortium Energy Barrel Furnishings › Storage Aeeshna (Founder's Point) 10 Community Coupons","","","252605","","3363","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/14829/consortium-energy-barrel-14829/","","","False"
"14830","263044","Empty Consortium Energy Barrel","tbc_theme","acquisition_midnight_confirmed","midnight","vendor","1 Empty Consortium Energy Barrel Furnishings › Storage Aeeshna (Founder's Point) 5 Community Coupons","","","252605","","3363","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/14830/empty-consortium-energy-barrel-14830/","","","False"
"14831","263045","Consortium Energy Collector","tbc_theme","acquisition_midnight_confirmed","midnight","vendor","3 Consortium Energy Collector Lighting › Large Lights Aeeshna (Founder's Point) 20 Community Coupons","","","252605","","3363","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/14831/consortium-energy-collector-14831/","","","False"
"14832","263046","Consortium Energy Crate","tbc_theme","acquisition_midnight_confirmed","midnight","vendor","1 Consortium Energy Crate Furnishings › Storage Aeeshna (Founder's Point) 10 Community Coupons","","","252605","","3363","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/14832/consortium-energy-crate-14832/","","","False"
"14833","263047","Empty Consortium Energy Crate","tbc_theme","acquisition_midnight_confirmed","midnight","vendor","1 Empty Consortium Energy Crate Furnishings › Storage Aeeshna (Founder's Point) 5 Community Coupons","","","252605","","3363","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/14833/empty-consortium-energy-crate-14833/","","","False"
"14834","263048","Consortium Energy Banner","tbc_theme","acquisition_midnight_confirmed","midnight","vendor","5 Consortium Energy Banner Accents › Ornamental Aeeshna (Founder's Point) 15 Community Coupons","","","252605","","3363","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/14834/consortium-energy-banner-14834/","","","False"
"15570","264332","Amani Ritual Altar","global_acquisition_match","acquisition_tbc_confirmed","the_burning_crusade","drop","3 Amani Ritual Altar Furnishings › Tables and Desks Encounter: Nalorakk","","","","","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/15570/amani-ritual-altar-15570/","","","True"
"16082","264705","Glazed Sin'dorei Vial","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","1 Glazed Sin'dorei Vial Accents › Ornamental Crafting: Alchemy Profession: Outland Alchemy (60)","","","","1272712","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/16082/glazed-sindorei-vial-16082/","","1272712","False"
"16083","264706","Shadow Council Torch","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Shadow Council Torch Lighting › Large Lights Crafting: Alchemy Profession: Outland Alchemy (60)","","","","1272723","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/16083/shadow-council-torch-16083/","","1272723","False"
"16086","264709","Stranglekelp Sack","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","1 Stranglekelp Sack Nature › Misc Nature Crafting: Alchemy Profession: Outland Alchemy (60)","","","","1272715","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/16086/stranglekelp-sack-16086/","","1272715","False"
"16219","264899","Arakkoan Alchemist's Concoction","global_acquisition_match","acquisition_tbc_confirmed","the_burning_crusade","crafted","1 Arakkoan Alchemist's Concoction Accents › Ornamental Crafting: Alchemy Profession: Outland Alchemy (60)","","","","1273070","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/16219/arakkoan-alchemists-concoction-16219/","","1273070","False"
"16220","264900","Arakkoan Alchemist's Bottle","global_acquisition_match","acquisition_tbc_confirmed","the_burning_crusade","crafted","1 Arakkoan Alchemist's Bottle Accents › Ornamental Crafting: Alchemy Profession: Outland Alchemy (60)","","","","1273064","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/16220/arakkoan-alchemists-bottle-16220/","","1273064","False"
"16754","265331","Draenei Holo-Junction","tbc_theme","internal_hidden","","vendor","1 Draenei Holo-Junction Accents › Floor","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/16754/draenei-holo-junction-16754/","","","False"
"18482","267006","[DNT] DR_DRAENEI_HOLORUNES02.M2 - Do not use - duplicate","tbc_theme","internal_hidden","","vendor","100 [DNT] DR_DRAENEI_HOLORUNES02.M2 - Do not use - duplicate Accents › Floor","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/18482/dnt-dr_draenei_holorunes02m2-do-not-use-duplicate-18482/","","","False"
"26477","279458","Draenei Rock Goblet","tbc_theme","acquisition_midnight_confirmed","midnight","vendor","1 Draenei Rock Goblet Accents › Food and Drink Throska (Razorwind Shores)","","","257168","","","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/26477/draenei-rock-goblet-26477/","","","False"
