"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url","tbc_achievement_ids","tbc_recipe_spell_ids","tbc_text_signal"
"11880","258192","Talon King's Totem","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Talon King's Totem Miscellaneous › Miscellaneous - All Crafting: Inscription Profession: Outland Inscription (60)","","","","1263814","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11880/talon-kings-totem-11880/","","1263814","False"
"11881","258193","Draenei Holo-Projector Pedestal","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","5 Draenei Holo-Projector Pedestal Miscellaneous › Miscellaneous - All Crafting: Engineering Profession: Outland Engineering (60)","","","","1263654","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11881/draenei-holo-projector-pedestal-11881/","","1263654","False"
"11882","258194","Tempest Keep Cryo-Pod","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","5 Tempest Keep Cryo-Pod Miscellaneous › Miscellaneous - All Crafting: Engineering Profession: Outland Engineering (60)","","","","1263643","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11882/tempest-keep-cryo-pod-11882/","","1263643","False"
"11883","258195","Draenei Weaver's Loom","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Draenei Weaver's Loom Furnishings › Misc Furnishings Crafting: Tailoring Profession: Outland Tailoring (60)","","","","1263692","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11883/draenei-weavers-loom-11883/","","1263692","False"
"11884","258196","Draenei Transmitter","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","1 Draenei Transmitter Miscellaneous › Miscellaneous - All Crafting: Engineering Profession: Outland Engineering (60)","","","","1263663","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11884/draenei-transmitter-11884/","","1263663","False"
"11885","258197","Crystal Signpost","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Crystal Signpost Miscellaneous › Miscellaneous - All Crafting: Inscription Profession: Outland Inscription (60)","","","","1263813","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11885/crystal-signpost-11885/","","1263813","False"
"11886","258198","Gilded Draenei Round Table","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Gilded Draenei Round Table Furnishings › Tables and Desks Crafting: Inscription Profession: Outland Inscription (60)","","","","1263811","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11886/gilded-draenei-round-table-11886/","","1263811","False"
"11887","258199","Aldor Bookcase","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Aldor Bookcase Furnishings › Storage Crafting: Inscription Profession: Outland Inscription (60)","","","","1263810","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11887/aldor-bookcase-11887/","","1263810","False"
"11888","258200","Shattrath Sconce","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","1 Shattrath Sconce Lighting › Wall Lights Crafting: Jewelcrafting Profession: Outland Jewelcrafting (60)","","","","1263817","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11888/shattrath-sconce-11888/","","1263817","False"
"11889","258201","Shattrath Lamppost","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Shattrath Lamppost Lighting › Large Lights Crafting: Jewelcrafting Profession: Outland Jewelcrafting (60)","","","","1263815","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11889/shattrath-lamppost-11889/","","1263815","False"
"11890","258202","Grand Drape of the Exiles","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","5 Grand Drape of the Exiles Accents › Wall Hangings Crafting: Tailoring Profession: Outland Tailoring (60)","","","","1263669","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11890/grand-drape-of-the-exiles-11890/","","1263669","False"
"11903","258215","Halaa Bench","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Halaa Bench Furnishings › Seating Crafting: Inscription Profession: Outland Inscription (60)","","","","1263812","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11903/halaa-bench-11903/","","1263812","False"
"14553","262347","Draenei Crystal Chandelier","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","1 Draenei Crystal Chandelier Lighting › Ceiling Lights Crafting: Jewelcrafting Profession: Outland Jewelcrafting (60)","","","","1269496","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/14553/draenei-crystal-chandelier-14553/","","1269496","False"
"15570","264332","Amani Ritual Altar","global_acquisition_match","acquisition_tbc_confirmed","the_burning_crusade","drop","3 Amani Ritual Altar Furnishings › Tables and Desks Encounter: Nalorakk","","","","","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/15570/amani-ritual-altar-15570/","","","True"
"16082","264705","Glazed Sin'dorei Vial","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","1 Glazed Sin'dorei Vial Accents › Ornamental Crafting: Alchemy Profession: Outland Alchemy (60)","","","","1272712","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/16082/glazed-sindorei-vial-16082/","","1272712","False"
"16083","264706","Shadow Council Torch","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Shadow Council Torch Lighting › Large Lights Crafting: Alchemy Profession: Outland Alchemy (60)","","","","1272723","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/16083/shadow-council-torch-16083/","","1272723","False"
"16086","264709","Stranglekelp Sack","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","1 Stranglekelp Sack Nature › Misc Nature Crafting: Alchemy Profession: Outland Alchemy (60)","","","","1272715","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/16086/stranglekelp-sack-16086/","","1272715","False"
"16219","264899","Arakkoan Alchemist's Concoction","global_acquisition_match","acquisition_tbc_confirmed","the_burning_crusade","crafted","1 Arakkoan Alchemist's Concoction Accents › Ornamental Crafting: Alchemy Profession: Outland Alchemy (60)","","","","1273070","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/16219/arakkoan-alchemists-concoction-16219/","","1273070","False"
"16220","264900","Arakkoan Alchemist's Bottle","global_acquisition_match","acquisition_tbc_confirmed","the_burning_crusade","crafted","1 Arakkoan Alchemist's Bottle Accents › Ornamental Crafting: Alchemy Profession: Outland Alchemy (60)","","","","1273064","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/16220/arakkoan-alchemists-bottle-16220/","","1273064","False"
