decor_id,catalog_name,category,source_text,achievement_ids,quest_ids,npc_ids,spell_ids,currency_ids
"1262","Undermine Fencepost","Structural › Misc Structural","Smaks Topskimmer (Undermine) 350 Resonance Crystals Stacks Topskimmer (Undermine) 350 Resonance Crystals","","","231409;251911","","2815"
"1263","Undermine Fence","Structural › Misc Structural","Smaks Topskimmer (Undermine) 450 Resonance Crystals Stacks Topskimmer (Undermine) 450 Resonance Crystals","","","231409;251911","","2815"
"1264","Rust-Plated Storage Crate","Furnishings › Storage","","","","","",""
"1265","Rust-Plated Storage Barrel","Furnishings › Storage","Lab Assistant Laszly (Undermine) 400 Resonance Crystals","","","231408","","2815"
"1266","Undermine Market Stall","Structural › Large Structures","Unsolicited Feedback (Undermine) Stacks Topskimmer (Undermine) 1000 Resonance Crystals","","85711","251911","","2815"
"1267","Cartel Head's Schmancy Desk","Furnishings › Tables and Desks","Cashing the Check (Undermine) Stacks Topskimmer (Undermine) 1000 Resonance Crystals","","87297","251911","","2815"
"1268","Undermine Bookcase","Furnishings › Storage","Sitch Lowdown (Undermine) 800 Resonance Crystals","","","231396","","2815"
"1269","Undermine Wall Shelf","Furnishings › Storage","Shredz the Scrapper (Undermine) 600 Resonance Crystals","","","231407","","2815"
"1270","Shredderwheel Storage Chest","Furnishings › Storage","Crafting: Blacksmithing Profession: Khaz Algar Blacksmithing (80)","","","","1259681",""
"1271","Rocket-Powered Fountain","Structural › Large Structures","Sojourner of Undermine Stacks Topskimmer (Undermine) 1500 Resonance Crystals","40894","","251911","","2815"
"1272","Trashfire Barrel","Lighting › Large Lights","Treasure: Undermine","","","","",""
"1273","Zhevra-Stripe Rug","Accents › Floor","Crafting: Leatherworking Profession: Khaz Algar Leatherworking (80)","","","","1260328",""
"1274","""Elegant"" Lawn Flamingo","Accents › Ornamental","Ad-Hoc Wedding Planner (Undermine) Stacks Topskimmer (Undermine) 750 Resonance Crystals","","87008","251911","","2815"
"1275","Undermine Bean Bag Chair","Furnishings › Seating","Crafting: Tailoring Profession: Khaz Algar Tailoring (80)","","","","1260326",""
"1276","Reinforced Goblin Umbrella","Accents › Ornamental","Just a Hunch Stacks Topskimmer (Undermine) 800 Resonance Crystals","","83176","251911","","2815"
"1277","Rusty Patchwork Tub","Furnishings › Misc Furnishings","Blair Bass (Undermine) 15 ""Gold"" Fish","","","226994","",""
"1279","[DNT] Spring-Powered Pointer - DO NOT USE - new asset coming","Accents › Ornamental","","","","","",""
"1459","Tiny String of Schmancy Goblin Lights","Lighting › Ceiling Lights","","","","","",""
"1460","Small String of Schmancy Goblin Lights","Lighting › Ceiling Lights","","","","","",""
"1461","Drooping String of Schmancy Goblin Lights","Lighting › Ceiling Lights","","","","","",""
"1462","Very Long String of Schmancy Goblin Lights","Lighting › Ceiling Lights","","","","","",""
"1463","Long String of Schmancy Goblin Lights","Lighting › Ceiling Lights","","","","","",""
"1748","Octagonal Ochre Window","Structural › Windows","Crafting: Jewelcrafting Profession: Khaz Algar Jewelcrafting (80)","","","","1260096",""
"1749","Meadery Ochre Window","Structural › Windows","Encounter: Goldie Baronbottom (Cinderbrew Meadery)","","","","",""
"1750","Ornate Ochre Window","Structural › Windows","Auditor Balwurz (Dornogal) 620 Resonance Crystals","","","223728","","2815"
"1893","Overgrown Arathi Trellis","Nature › Misc Nature","Encounter: Prioress Murrpray (Priory of the Sacred Flame)","","","","",""
"1984","Schmancy Goblin String Lights","Lighting › Ceiling Lights","Crafting: Engineering Profession: Khaz Algar Engineering (80)","","","","1259724",""
"2470","Decorative Cinder Honeypot","Accents › Food and Drink","Cendvin (Isle of Dorn) 100 Sizzling Cinderpollen","","","226205","",""
"2471","Dornic Sliced Mineloaf","Accents › Food and Drink","Crafting: Cooking Profession: Khaz Algar Cooking (80)","","","","1245995",""
"2472","Earthen Hospitality Cheese-Like Brick","Accents › Food and Drink","Crafting: Cooking Profession: Khaz Algar Cooking (80)","","","","1245994",""
"2532","Kaheti Scribe's Records","Accents › Ornamental","Smelling History Thripps (City of Threads) 1500 Kej","40542","","218202","","3056"
"2533","Tome of Earthen Directives","Accents › Ornamental","Slate of the Union Jorid (Dornogal) 750 Resonance Crystals","41186","","219318","","2815"
"3889","Earthcrawl Mine Cart","Miscellaneous › Miscellaneous - All","","","","","",""
"3890","Deephaul Crystal","Accents › Ornamental","Sprinting in the Ravine Joruh (Orgrimmar) 2500 Honor +1 more source","40612","","254606","","1792"
"3891","Deactivated K'areshi Warp Cannon","Structural › Large Structures","Om'sirik (K'aresh) 2000 Resonance Crystals","","","235252","","2815"
"4178","Non-Fatal One-Armed Bandit","Miscellaneous › Miscellaneous - All","","","","","",""
"4560","Relaxing Goblin Beach Chair with Cup Gripper","Furnishings › Seating","Boatswain Hardee (Undermine) 900 Resonance Crystals","","","231405","","2815"
"4561","Amirdrassil Stool","Furnishings › Seating","Mythrin'dir (Amirdrassil) 250 Dragon Isles Supplies","","","216284","","2003"
"9167","Dornogal Framed Rug","Accents › Floor","Crafting: Tailoring Profession: Khaz Algar Tailoring (80)","","","","1260215",""
"9168","Stonelight Countertop","Furnishings › Tables and Desks","Bad Business (Dornogal) Garnett (Dornogal) 800 Resonance Crystals","","79530","252910","","2815"
"9169","Boulder Springs Recliner","Furnishings › Seating","Sojourner of Isle of Dorn Garnett (Dornogal) 900 Resonance Crystals","20595","","252910","","2815"
"9170","Boulder Springs Hot Tub","Furnishings › Misc Furnishings","Crafting: Alchemy Profession: Khaz Algar Alchemy (80)","","","","1259673",""
"9178","Earthen Etched Throne","Furnishings › Seating","Into the Machine (The Ringing Deeps) Chert (The Ringing Deeps) 500 Resonance Crystals","","78761","252887","","2815"
"9179","Freywold Bench","Furnishings › Seating","Heart of a Hero (Isle of Dorn) Cinnabar (Freywold Village, Isle of Dorn) 400 Resonance Crystals","","78999","252901","","2815"
"9180","Dornogal Bookcase","Furnishings › Storage","Crafting: Inscription Profession: Khaz Algar Inscription (80)","","","","1259796",""
"9181","Rambleshire Resting Platform","Furnishings › Beds","Rocked to Sleep Garnett (Dornogal) 1000 Resonance Crystals","40504","","252910","","2815"
"9182","Fallside Lantern","Lighting › Small Lights","The Weight of Duty (Isle of Dorn) Garnett (Dornogal) 450 Resonance Crystals","","82895","252910","","2815"
"9183","Freywold Seat","Furnishings › Seating","Hope, An Anomaly (Isle of Dorn) Cinnabar (Freywold Village, Isle of Dorn) 300 Resonance Crystals","","79703","252901","","2815"
"9184","Freywold Table","Furnishings › Tables and Desks","Crafting: Inscription Profession: Khaz Algar Inscription (80)","","","","1259818",""
"9185","Dornogal Brazier","Lighting › Large Lights","We're Here All Night Garnett (Dornogal) 600 Resonance Crystals","40859","","252910","","2815"
"9186","Dornogal Hanging Lantern","Lighting › Ceiling Lights","Garnett (Dornogal) 500 Resonance Crystals","","","252910","","2815"
"9187","Dornogal Hanging Sconce","Lighting › Wall Lights","Crafting: Enchanting Profession: Khaz Algar Enchanting (80)","","","","1259715",""
"9188","Coreway Sentinel Lamppost","Structural › Misc Structural","On the Road (The Ringing Deeps) Chert (The Ringing Deeps) 650 Resonance Crystals","","82144","252887","","2815"
"9236","Earthen Chain Wall Shelf","Furnishings › Storage","Chert (The Ringing Deeps) 600 Resonance Crystals Waxmonger Squick (Gundargaz, Ringing Deeps) 600 Resonance Crystals","","","252887;221390","","2815"
"9237","Fallside Storage Tent","Structural › Large Structures","Professional Algari Master Garnett (Dornogal) 900 Resonance Crystals","19408","","252910","","2815"
"9238","Algari Fence","Structural › Misc Structural","Crafting: Inscription Profession: Khaz Algar Inscription (80)","","","","1260005",""
"9239","Algari Fencepost","Structural › Misc Structural","Crafting: Inscription Profession: Khaz Algar Inscription (80)","","","","1260044",""
"9240","Freywold Fountain","Structural › Large Structures","To Wake a Giant (Isle of Dorn) Cinnabar (Freywold Village, Isle of Dorn) 1100 Resonance Crystals","","78759","252901","","2815"
"9241","Forgeground Market Bins","Furnishings › Storage","Crafting: Inscription Profession: Khaz Algar Inscription (80)","","","","1259784",""
"9242","Earthen Storage Crate","Furnishings › Storage","Auditor Balwurz (Dornogal) 1 Captain Lancy Revshon (Trade District, Stormwind) 95 +2 more sources","","","223728;49877","",""
"9243","Meadery Storage Chest","Furnishings › Storage","Crafting: Inscription Profession: Khaz Algar Inscription (80)","","","","1259805",""
"9244","Earthen Contender's Target","Accents › Misc Accents","Deephaul Ravine Victory Joruh (Orgrimmar) 750 Honor +2 more sources","40210","","254606","","1792"
"9245","Replica Awakening Machine Stasis Pod","Accents › Wall Hangings","Crafting: Enchanting Profession: Khaz Algar Enchanting (80)","","","","1259690",""
"9246","Gundargaz Grand Keg","Furnishings › Storage","Cinderbrew Reserve (The Ringing Deeps) Chert (The Ringing Deeps) 850 Resonance Crystals","","83160","252887","","2815"
"9247","Meadery Storage Barrel","Furnishings › Storage","Furniture Favor (Stormwind City, Orgrimmar, Dornogal) Second Chair Pawdo (Dornogal)","","92572","252312","",""
"9268","Replica Rumbling Wastes Drill Pod","Miscellaneous › Miscellaneous - All","Crafting: Engineering Profession: Khaz Algar Engineering (80)","","","","1259778",""
"9269","Gundargaz Candelabra","Lighting › Large Lights","Crafting: Jewelcrafting Profession: Khaz Algar Jewelcrafting (80)","","","","1260172",""
"10852","Undermine Mechanic's Hanging Lamp","Lighting › Ceiling Lights","Lab Assistant Laszly (Undermine) 500 Resonance Crystals","","","231408","","2815"
"10853","Undermine Alleyway Sconce","Lighting › Wall Lights","Boatswain Hardee (Undermine) 475 Resonance Crystals","","","231405","","2815"
"10857","Spring-Powered Pointer","Accents › Ornamental","Shredz the Scrapper (Undermine) 650 Resonance Crystals","","","231407","","2815"
"10889","Incontinental Table Lamp","Lighting › Small Lights","Rocco Razzboom (Undermine) 450 Resonance Crystals","","","231406","","2815"
"10913","Champion Brawler's Gloves","Accents › Wall Hangings","""Bad Luck"" Symmes (Brawl'gar Arena) 8000 Dershway the Triggered (Deeprun Tram) 8000 +2 more sources","","","145695;151941","",""
"11127","Open Rust-Plated Storage Crate","Furnishings › Storage","Sitch Lowdown (Undermine) 450 Resonance Crystals","","","231396","","2815"
"11128","Leftover Undermine Takeout","Accents › Food and Drink","Street Food Vendor (Undermine) 350 Resonance Crystals","","","239333","","2815"
"11440","Nerubian Alchemist's Retort","Accents › Ornamental","Crafting: Alchemy Profession: Khaz Algar Alchemy (80)","","","","1261878",""
"11455","Drained Dark Heart of Galakrond","Accents › Misc Accents","Worldsoul-Searching Stacks Topskimmer (Undermine)","61451","","251911","",""
"11456","Scroll of K'aresh's Fall","Accents › Wall Hangings","Lorewalking: Ethereal Wisdom Lali the Assistant (Vale of Eternal Blossoms) 2000","42187","","62088","",""
"11457","Tome of the Survivor","Accents › Ornamental","Lorewalking: Blade's Bane Lali the Assistant (Vale of Eternal Blossoms) 2000","42188","","62088","",""
"11488","""Portrait of the Artist as a Young Goblin"" Painting","Accents › Wall Hangings","","","","","",""
"11707","""That Thing What You've Always Needed"" Advertisement","Accents › Wall Hangings","","","","","",""
"11930","Kobold Digger's Chair","Furnishings › Seating","The Wickless Candle (The Ringing Deeps) Gabbun (The Ringing Deeps) 350 Resonance Crystals","","79510","256783","","2815"
"11931","Kobold Candle Trio","Lighting › Small Lights","New Candle, New Hope (The Ringing Deeps) Gabbun (The Ringing Deeps) 200 Resonance Crystals","","78642","256783","","2815"
"11932","Kobold Wagon","Miscellaneous › Miscellaneous - All","Bump off the Boss (The Ringing Deeps) Gabbun (The Ringing Deeps) 1000 Resonance Crystals","","80516","256783","","2815"
"11933","Candle-Festooned Wooden Awning","Structural › Large Structures","Janky Candles (Isle of Dorn) Gabbun (The Ringing Deeps) 750 Resonance Crystals","","79565","256783","","2815"
"11934","Waxmaster's Candle Rack","Structural › Large Structures","Encounter: The Darkness","","","","",""
"11948","K'areshi Warp Platform","Structural › Large Structures","Om'sirik (K'aresh) 1000 Resonance Crystals","","","235252","","2815"
"11950","Naakroan Brazier","Lighting › Large Lights","","","","","",""
"11951","Shadowguard Collection Pylon","Structural › Misc Structural","","","","","",""
"11953","Shadowguard Energy Siphon","Structural › Large Structures","","","","","",""
"12195","Ethereal Pipe Segment","Structural › Large Structures","Om'sirik (K'aresh) 800 Resonance Crystals","","","235252","","2815"
"12196","Angled Ethereal Pipe Segment","Structural › Large Structures","Om'sirik (K'aresh) 800 Resonance Crystals","","","235252","","2815"
"12197","Long Ethereal Pipe Segment","Structural › Large Structures","Om'sirik (K'aresh) 800 Resonance Crystals","","","235252","","2815"
"12198","Corner Ethereal Pipe Segment","Structural › Large Structures","Om'sirik (K'aresh) 800 Resonance Crystals","","","235252","","2815"
"12211","Exposed Corner Ethereal Pipe Segment","Structural › Large Structures","Om'sirik (K'aresh) 800 Resonance Crystals","","","235252","","2815"
"12212","Exposed Long Ethereal Pipe Segment","Structural › Large Structures","Om'sirik (K'aresh) 800 Resonance Crystals","","","235252","","2815"
"12217","Exposed Intersecting Ethereal Pipe Segment","Structural › Large Structures","Om'sirik (K'aresh) 800 Resonance Crystals","","","235252","","2815"
"12218","Reinforced Corner Ethereal Pipe Segment","Structural › Large Structures","Om'sirik (K'aresh) 800 Resonance Crystals","","","235252","","2815"
"12220","Exposed Angled Ethereal Pipe Segment","Structural › Large Structures","Om'sirik (K'aresh) 800 Resonance Crystals","","","235252","","2815"
"14360","Arathi Bartender's Shelves","Furnishings › Storage","To Kill a Queen (City of Threads) Nalina Ironsong (Hallowfall) 500 Resonance Crystals","","82141","217642","","2815"
"14615","Simple Haranir Table","Furnishings › Tables and Desks","Crafting: Leatherworking Profession: Midnight Leatherworking (80)","","","","1246940",""
"14677","Complete Guide to K'areshi Wrappings, Vol. 11","Accents › Ornamental","Aeeshna (Founder's Point) 5 Community Coupons","","","252605","","3363"
"14678","K'areshi Holo-Crystal Projector","Accents › Ornamental","Aeeshna (Founder's Point) 5 Community Coupons","","","252605","","3363"
"14679","K'areshi Incense Burner","Accents › Ornamental","Aeeshna (Founder's Point) 2 Community Coupons","","","252605","","3363"
"14680","Oath Scale","Accents › Ornamental","Aeeshna (Founder's Point) 5 Community Coupons","","","252605","","3363"
"14793","Consortium Glowpost","Lighting › Large Lights","Aeeshna (Founder's Point) 10 Community Coupons","","","252605","","3363"
"14800","Tazaveshi Hookah","Accents › Misc Accents","Aeeshna (Founder's Point) 10 Community Coupons","","","252605","","3363"
"14969","[DNT] [AUTOGEN] 12PH_Leg_11WE_WildElves_Special_Mural05.M2","Accents › Misc Accents","","","","","",""
"15155","Bubbling Haranir Cauldron","Accents › Food and Drink","The Cauldron of Echoes (Harandar) Maku (Harandar) 250 Voidlight Marl","","","255114","","3316"
"15339","DO NOT USE - new asset coming - Well-Lit Incontinental Couch","Furnishings › Seating","","","","","",""
"15399","Fungal Chest","Furnishings › Storage","Telemancer Astrandis (Silvermoon City) 10 Voidlight Marl","","","242399","","3316"
"15400","Delver's Bountiful Coffer","Furnishings › Storage","Telemancer Astrandis (Silvermoon City) 10 Voidlight Marl","","","242399","","3316"
"15413","Root-Wrapped Reliquary","Furnishings › Storage","Telemancer Astrandis (Silvermoon City) 10 Voidlight Marl","","","242399","","3316"
"15461","[DNT] [AUTOGEN] 11WE_WildElves_Cooking_Food02.m2","Accents › Food and Drink","","","","","",""
"17515","Haranir Canopy Bed","Furnishings › Beds","Crafting: Leatherworking Profession: Midnight Leatherworking (50)","","","","1246939",""
"20171","[DNT] [AUTOGEN] 12PH_LEG_11EA_Earthen_Decor_LoungeChair01.M2","Furnishings › Seating","","","","","",""
"21089","[DNT] [AUTOGEN] 11ETI_Main_Plant_Lettuce_B01.m2","Nature › Small Foliage","","","","","",""
"21090","[DNT] [AUTOGEN] 11ETI_Main_Plant_Lettuce_C01.m2","Nature › Small Foliage","","","","","",""
"21091","[DNT] [AUTOGEN] 11ETI_Main_Plant_Lettuce_C02.m2","Nature › Small Foliage","","","","","",""
"21882","[DNT] [AUTOGEN] 11EA_Earthen_Cooking_Country_CookingPot02.m2","Uncategorized › Uncategorized","","","","","",""
"21883","[DNT] [AUTOGEN] 11EA_Earthen_Cooking_Country_CookingPot02_Closed.m2","Uncategorized › Uncategorized","","","","","",""
"21884","[DNT] [AUTOGEN] 11EA_Earthen_Cooking_Country_CookingPot03_Closed.m2","Uncategorized › Uncategorized","","","","","",""
"21885","[DNT] [AUTOGEN] 11EA_Earthen_Cooking_Country_HoneyPot01.m2","Uncategorized › Uncategorized","","","","","",""
"21886","Purified Earthen Pot","Furnishings › Storage","Cursed Keepsake (Founder's Point, Razorwind Shores) Cursed Keepsake","","","262726","",""
"26201","Kobold's Hanging Kandles","Accents › Wall Hangings","No Wax Like Home (Arcantina) Morta Gage (Arcantina) 150 Voidlight Marl","","","252873","","3316"
"26202","Arathor Toy Sword","Accents › Ornamental","Hope for the Orphans (Arcantina) Morta Gage (Arcantina) 150 Voidlight Marl","","","252873","","3316"
"26494","Purified Goblin Cup","Accents › Food and Drink","Cursed Keepsake (Founder's Point, Razorwind Shores) Cursed Keepsake","","","262726","",""
"26613","Warrens Candlecooker","Uncategorized › Uncategorized","Timicky (Founder's Point)","","","271173","",""
"26614","Kobold Dig-Thing","Accents › Misc Accents","Timicky (Founder's Point)","","","271173","",""
"26617","Highlighting High Light","Lighting › Large Lights","Timicky (Razorwind Shores)","","","271173","",""
"26618","Small Warrens Candle","Lighting › Large Lights","Timicky (Razorwind Shores)","","","271173","",""
"26619","Kobold Sit-Thing","Furnishings › Seating","Timicky (Razorwind Shores)","","","271173","",""
"26621","Medium Warrens Candle","Lighting › Large Lights","Timicky (Founder's Point)","","","271173","",""
"26785","Large Warrens Candle","Lighting › Misc Lighting","Timicky (Razorwind Shores)","","","271173","",""
"26786","Large Threedium Warrens Candle","Lighting › Misc Lighting","Timicky (Razorwind Shores)","","","271173","",""
"26787","Candle Cage","Lighting › Large Lights","Timicky (Razorwind Shores)","","","271173","",""
"26788","Bold Kobold Kabin","Structural › Large Structures","Timicky (Razorwind Shores)","","","271173","",""
"26789","Hot Kobold Treasure","Furnishings › Storage","Timicky (Founder's Point)","","","271173","",""
"26936","Droopy Longwick Rope","Structural › Misc Structural","Timicky (Founder's Point)","","","271173","",""
"26937","Longwick Rope","Structural › Misc Structural","Timicky (Founder's Point)","","","271173","",""
"26938","Cozy Kobold Crate","Furnishings › Storage","Timicky (Razorwind Shores)","","","271173","",""
"26939","Hanging Longwick Rope","Structural › Misc Structural","Timicky (Razorwind Shores)","","","271173","",""
"27041","""Summoning of Ula'tek"" Mural","Accents › Wall Hangings","Written by the Victors (The Coiled Isle) Firetender Zab'ni (The Coiled Isle) 500 Voidlight Marl","","","270399","","3316"
"27167","Color-Curious Candle","Accents › Misc Accents","Timicky (Razorwind Shores)","","","271173","",""
"11952","K'areshi Protectorate Portal","Structural › Large Structures","Om'sirik (K'aresh) 1000 Resonance Crystals","","","235252","","2815"
"14359","Cartel Collector's Cage","Miscellaneous › Miscellaneous - All","Manaforge Omega: Dimensius Looms (K'aresh) Ta'sam (Tazavesh, the Veiled Market, K'aresh) 500 Resonance Crystals","","86820","235314","","2815"
"14381","Gob-chanical Trash Heap","Accents › Misc Accents","Showdown in the Attic (Undermine) Stacks Topskimmer (Undermine) 300 Resonance Crystals","","84675","251911","","2815"
"11453","Tale of the Penultimate Lich King","Accents › Ornamental","Lorewalking: The Lich King Lali the Assistant (Vale of Eternal Blossoms) 2000","42189","","62088","",""
"12263","Brawler's Guild Punching Bag","Accents › Misc Accents","""Bad Luck"" Symmes (Brawl'gar Arena) 4000 Dershway the Triggered (Deeprun Tram) 4000 +2 more sources","","","145695;151941;68364;68363","",""
"14815","Brawler's Barricade","Miscellaneous › Miscellaneous - All","""Bad Luck"" Symmes (Brawl'gar Arena) 500 Dershway the Triggered (Deeprun Tram) 500 +2 more sources","","","145695;151941;68364;68363","",""
