decor_id,item_id,name,decision,acquisition,evidence,note
23550,276673,Bakar's Snack,released_endeavor_reward,Roshai Lightstep (Razorwind Shores),https://housing.wowdb.com/endeavors/20/every-bakar-has-its-day/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Available when the relevant neighborhood endeavor is active; vendor positions can differ by faction.
23551,276675,Bakar's Dinner,released_endeavor_reward,Roshai Lightstep (Razorwind Shores),https://housing.wowdb.com/endeavors/20/every-bakar-has-its-day/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Available when the relevant neighborhood endeavor is active; vendor positions can differ by faction.
26201,278044,Kobold's Hanging Kandles,current_acquisition_page,No Wax Like Home (Arcantina) Morta Gage (Arcantina) 150 Voidlight Marl,,
26202,278038,Arathor Toy Sword,current_acquisition_page,Hope for the Orphans (Arcantina) Morta Gage (Arcantina) 150 Voidlight Marl,,
26378,279346,Stretched Snakeskin Rack,crafting_source_correlated,Crafting: Leatherworking; Profession: Midnight Leatherworking,ATT/Craftables.lua:r:1296510;ATT/Craftables.lua:de:26378;https://www.wowdb.com/spells/1296510-stretched-snakeskin-rack,"Recipe 1296510, pattern item 275334, Thalassian Recipe in a Bottle 278329; decor item 279346 has use spell 1306587."
26491,279455,K'areshi Tea Cup,current_acquisition_page,Throska (Razorwind Shores),https://housing.wowdb.com/decor/26491/kareshi-tea-cup-26491/,
26492,278696,Purified Dracthyr Stein,current_acquisition_page,"Cursed Keepsake (Founder's Point, Razorwind Shores) Cursed Keepsake",https://housing.wowdb.com/decor/?page=9&source_types=Quest,Current catalog lists the Cursed Keepsake acquisition; direct detail page was not fetchable.
26494,278701,Purified Goblin Cup,current_acquisition_page,"Cursed Keepsake (Founder's Point, Razorwind Shores) Cursed Keepsake",,
26613,280246,Warrens Candlecooker,released_endeavor_reward,Timicky (Founder's Point),https://housing.wowdb.com/endeavors/12/you-take-candle/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Candle Culture reward list. Older individual pages can retain pre-release unavailable labels.
26614,280249,Kobold Dig-Thing,released_endeavor_reward,Timicky (Founder's Point),https://housing.wowdb.com/endeavors/12/you-take-candle/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Candle Culture reward list. Older individual pages can retain pre-release unavailable labels.
26617,280253,Highlighting High Light,released_endeavor_reward,Timicky (Razorwind Shores),https://housing.wowdb.com/endeavors/12/you-take-candle/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Candle Culture reward list. Older individual pages can retain pre-release unavailable labels.
26618,280255,Small Warrens Candle,released_endeavor_reward,Timicky (Razorwind Shores),https://housing.wowdb.com/endeavors/12/you-take-candle/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Candle Culture reward list. Older individual pages can retain pre-release unavailable labels.
26619,280251,Kobold Sit-Thing,released_endeavor_reward,Timicky (Razorwind Shores),https://housing.wowdb.com/endeavors/12/you-take-candle/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Candle Culture reward list. Older individual pages can retain pre-release unavailable labels.
26621,280257,Medium Warrens Candle,released_endeavor_reward,Timicky (Founder's Point),https://housing.wowdb.com/endeavors/12/you-take-candle/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Candle Culture reward list. Older individual pages can retain pre-release unavailable labels.
26785,280259,Large Warrens Candle,released_endeavor_reward,Timicky (Razorwind Shores),https://housing.wowdb.com/endeavors/12/you-take-candle/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Candle Culture reward list. Older individual pages can retain pre-release unavailable labels.
26786,280261,Large Threedium Warrens Candle,released_endeavor_reward,Timicky (Razorwind Shores),https://housing.wowdb.com/endeavors/12/you-take-candle/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Candle Culture reward list. Older individual pages can retain pre-release unavailable labels.
26787,280263,Candle Cage,released_endeavor_reward,Timicky (Razorwind Shores),https://housing.wowdb.com/endeavors/12/you-take-candle/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Candle Culture reward list. Older individual pages can retain pre-release unavailable labels.
26788,280267,Bold Kobold Kabin,released_endeavor_reward,Timicky (Razorwind Shores),https://housing.wowdb.com/endeavors/12/you-take-candle/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Candle Culture reward list. Older individual pages can retain pre-release unavailable labels.
26789,280265,Hot Kobold Treasure,released_endeavor_reward,Timicky (Founder's Point),https://housing.wowdb.com/endeavors/12/you-take-candle/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Candle Culture reward list. Older individual pages can retain pre-release unavailable labels.
26936,280273,Droopy Longwick Rope,released_endeavor_reward,Timicky (Founder's Point),https://housing.wowdb.com/endeavors/12/you-take-candle/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Candle Culture reward list. Older individual pages can retain pre-release unavailable labels.
26937,280271,Longwick Rope,released_endeavor_reward,Timicky (Founder's Point),https://housing.wowdb.com/endeavors/12/you-take-candle/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Candle Culture reward list. Older individual pages can retain pre-release unavailable labels.
26938,280269,Cozy Kobold Crate,released_endeavor_reward,Timicky (Razorwind Shores),https://housing.wowdb.com/endeavors/12/you-take-candle/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Candle Culture reward list. Older individual pages can retain pre-release unavailable labels.
26939,280275,Hanging Longwick Rope,released_endeavor_reward,Timicky (Razorwind Shores),https://housing.wowdb.com/endeavors/12/you-take-candle/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Candle Culture reward list. Older individual pages can retain pre-release unavailable labels.
27167,280513,Color-Curious Candle,released_endeavor_reward,Timicky (Razorwind Shores),https://housing.wowdb.com/endeavors/12/you-take-candle/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Candle Culture reward list. Older individual pages can retain pre-release unavailable labels.
