decision,decision_basis,achievement_id,title,description,root_category,category_id,category_path,points,flags,criteria_tree_id,reward_item_id,att_source_files,followup_reason
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,7386,Grand Expedition Yak,Obtain a Grand Expedition Yak from Uncle Bigpocket in Kun-Lai Summit.,Collections,15248,Collections > Mounts,10,131072,24292,0,Zones.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,7468,Theramore's Fall,Assisted in the covert assault of Theramore Isle and the rescue of Thalen Songweaver.,Feats of Strength,15274,Feats of Strength > Events,0,133120,27654,89205,WorldEvents.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,7860,We're Going to Need More Saddles,Obtain 150 mounts (usable by a single character).,Collections,15248,Collections > Mounts,10,131072,30736,91802,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,7862,We're Going to Need More Saddles,Obtain 150 mounts (usable by a single character).,Collections,15248,Collections > Mounts,10,131072,30738,91802,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,8302,Mount Parade,Obtain 200 mounts (usable by a single character).,Collections,15248,Collections > Mounts,10,131072,32772,98104,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,8304,Mount Parade,Obtain 200 mounts (usable by a single character).,Collections,15248,Collections > Mounts,10,131072,32770,98259,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,8820,WoW's 10th Anniversary,Logged in during WoW's 10th Anniversary.,Feats of Strength,15274,Feats of Strength > Events,0,2048,34572,115301,Holidays.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,8985,Glory of the Draenor Raider,Complete the Draenor raid achievements listed below.,Dungeons & Raids,168,Dungeons & Raids,25,143360,36001,116383,Instances.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,9069,An Awfully Big Adventure,Defeat the following trainers with an Elekk Plushie on your team.,Pet Battles,15119,Pet Battles > Battle,10,131072,37382,120121,Zones.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,9396,Glory of the Draenor Hero,Complete the Draenor Heroic dungeon achievements listed below.,Dungeons & Raids,168,Dungeons & Raids,25,143360,38434,116670,Instances.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,9496,Warlord's Deathwheel,Qualified to receive the winning entry in the Azeroth Choppers competition.,Feats of Strength,15268,Feats of Strength > Promotions,0,133120,39144,116788,Promotions.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,9550,"Boldly, You Sought the Power of Ragnaros",Defeated the max-level event version of Ragnaros during the WoW 10th Anniversary celebration.,Feats of Strength,15274,Feats of Strength > Events,0,2048,39610,115484,Holidays.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,9598,Mountacular,Obtain 250 mounts (usable by a single character).,Collections,15248,Collections > Mounts,10,131072,39992,69226,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,9599,Mountacular,Obtain 250 mounts (usable by a single character).,Collections,15248,Collections > Mounts,10,131072,39994,69226,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,9643,So. Many. Pets.,Collect 600 unique pets.,Pet Battles,15118,Pet Battles > Collect,10,143360,40239,118577,Character.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,9670,Toying Around,Collect 25 toys.,Collections,15247,Collections > Toy Box,10,131072,40727,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,9671,Having a Ball,Collect 50 toys.,Collections,15247,Collections > Toy Box,10,131072,40729,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,9672,Tons of Toys,Collect 100 toys.,Collections,15247,Collections > Toy Box,10,131072,40731,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,9673,The Toymaster,Collect 150 toys.,Collections,15247,Collections > Toy Box,10,131072,40733,119215,Character.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,9685,Draenor Safari,Catch every battle pet in Draenor.,Pet Battles,15118,Pet Battles > Collect,5,131072,40409,111866,Zones.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,9696,Family Familiar,Complete the following achievements.,Pet Battles,15119,Pet Battles > Battle,10,135168,40411,140761,Zones.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,9906,Alt-ernative Lifestyle,Collect 5 Heirlooms.,Collections,15246,Collections,10,131072,43137,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,9908,Ready for Powerleveling,Collect 15 Heirlooms.,Collections,15246,Collections,10,131072,43139,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,9909,Heirloom Hoarder,Collect 35 Heirlooms.,Collections,15246,Collections,10,131072,43141,120968,Character.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,9911,Where's the Mailbox?,Collect a Heirloom item.,Collections,15246,Collections,5,131072,43143,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,10149,Glory of the Hellfire Raider,Complete the Hellfire Citadel raid achievements listed below.,Dungeons & Raids,168,Dungeons & Raids,25,143360,44494,127140,Instances.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,10354,Crashin' Thrashin' Commander,Collect 200 toys.,Collections,15247,Collections > Toy Box,10,131072,45827,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,10355,Lord of the Reins,Obtain 300 mounts (usable by a single character).,Collections,15248,Collections > Mounts,10,131072,45764,87776,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,10356,Lord of the Reins,Obtain 300 mounts (usable by a single character).,Collections,15248,Collections > Mounts,10,131072,45766,87776,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,10681,Fashionista: Head,Collect 100 head slot appearances.,Collections,15259,Collections > Appearances,5,131072,48856,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,10682,Fashionista: Chest,Collect 100 chest slot appearances.,Collections,15259,Collections > Appearances,5,131072,48858,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,10684,Fashionista: Legs,Collect 100 leg slot appearances.,Collections,15259,Collections > Appearances,5,131072,48872,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,10685,Fashionista: Feet,Collect 100 feet slot appearances.,Collections,15259,Collections > Appearances,5,131072,48874,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,10686,Fashionista: Waist,Collect 100 waist slot appearances.,Collections,15259,Collections > Appearances,5,131072,48876,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,10687,Fashionista: Back,Collect 200 back slot appearances.,Collections,15259,Collections > Appearances,5,131072,48878,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,10688,Fashionista: Wrist,Collect 100 wrist slot appearances.,Collections,15259,Collections > Appearances,5,131072,48880,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,10689,Fashionista: Weapon & Off-Hand,Collect 100 weapon or off-hand slot appearances.,Collections,15259,Collections > Appearances,5,131200,48882,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,10690,Fashionista: Tabard,Collect 15 tabard slot appearances.,Collections,15259,Collections > Appearances,5,131072,48885,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,10691,Fashionista: Shirt,Collect 15 shirt slot appearances.,Collections,15259,Collections > Appearances,5,131072,48887,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,10692,Fashionista: Shoulder,Collect 100 shoulder slot appearances.,Collections,15259,Collections > Appearances,5,131072,48889,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,10693,Fashionista: Hand,Collect 100 hand slot appearances.,Collections,15259,Collections > Appearances,5,131072,48891,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,10694,Fabulous,Unlock each of the achievements listed below.,Collections,15259,Collections > Appearances,10,131072,48893,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11163,Glory of the Legion Hero,Complete the Legion Mythic dungeon achievements listed below.,Dungeons & Raids,168,Dungeons & Raids,25,143360,51919,141217,Instances.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11176,Remember to Share,Collect 300 toys.,Collections,15247,Collections > Toy Box,10,131072,52072,140500,Character.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11180,Glory of the Legion Raider,Complete the Legion raid achievements listed below.,Dungeons & Raids,168,Dungeons & Raids,25,143360,52211,141216,Instances.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11628,That's So Last Millennium,Collect any class armor set from the Nighthold.,Collections,15259,Collections > Appearances,10,131072,57545,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11629,Untamed Beauty,Collect any class armor set from Warlords PvP Season 1.,Collections,15259,Collections > Appearances,10,131072,57558,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11630,More Like Win-dictive,Collect any class armor set from Legion PvP Season 1 or 2.,Collections,15259,Collections > Appearances,10,131072,57643,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11631,Extreme Makeover: Fel Edition,Collect any class armor set from Hellfire Citadel.,Collections,15259,Collections > Appearances,10,131072,57645,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11706,The Original,Collect any class armor set from PvP Season 1.,Collections,15259,Collections > Appearances,10,131072,58398,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11707,No Mercy,Collect any class armor set from PvP Season 2.,Collections,15259,Collections > Appearances,10,131072,58400,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11708,With a Vengeance,Collect any class armor set from PvP Season 3.,Collections,15259,Collections > Appearances,10,131072,58402,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11709,Tough Threads,Collect any class armor set from PvP Season 4.,Collections,15259,Collections > Appearances,10,131072,58404,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11710,Lethal Looks,Collect any class armor set from PvP Season 5.,Collections,15259,Collections > Appearances,10,131072,58406,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11711,The Fierce and the Furious,Collect any class armor set from PvP Season 6.,Collections,15259,Collections > Appearances,10,131072,58408,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11712,Relentlessly Good Looking,Collect any class armor set from PvP Season 7.,Collections,15259,Collections > Appearances,10,131072,58410,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11713,Wrath of the Stitch King,Collect any class armor set from PvP Season 8.,Collections,15259,Collections > Appearances,10,131072,58412,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11714,Viciously Vintage,Collect any class armor set from PvP Season 9.,Collections,15259,Collections > Appearances,10,131072,58414,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11715,(Ruth)less is More,Collect any class armor set from PvP Season 10.,Collections,15259,Collections > Appearances,10,131072,58416,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11716,Cataclysmic Catwalk,Collect any class armor set from PvP Season 11.,Collections,15259,Collections > Appearances,10,131072,58418,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11717,Why Male(volent) Models?,Collect any class armor set from PvP Season 12.,Collections,15259,Collections > Appearances,10,131072,58420,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11718,Dressed to Oppress,Collect any class armor set from PvP Season 13.,Collections,15259,Collections > Appearances,10,131072,58422,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11719,It's Not Fashion Unless It Hurts,Collect any class armor set from PvP Season 14.,Collections,15259,Collections > Appearances,10,131072,58424,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11720,Wear It With Pride,Collect any class armor set from PvP Season 15.,Collections,15259,Collections > Appearances,10,131072,58426,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11721,Wild Style,Collect any class armor set from Warlords PvP Season 2.,Collections,15259,Collections > Appearances,10,131072,58428,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11722,War-Mog-ering,Collect any class armor set from Warlords PvP Season 3.,Collections,15259,Collections > Appearances,10,131072,58430,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11723,Cruel Intentions,Collect any class armor set from Legion PvP Season 3 or 4.,Collections,15259,Collections > Appearances,10,131072,58432,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11740,Make it W-orc W-orc,Collect any class armor set from Blackrock Foundry.,Collections,15259,Collections > Appearances,10,131072,58560,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11741,So Hot Right Now,Collect any class armor set from Molten Core.,Collections,15259,Collections > Appearances,10,131072,58562,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11742,Dress in Lairs,Collect any class armor set from Blackwing Lair.,Collections,15259,Collections > Appearances,10,131072,58564,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11743,Accessor-Eyes,Collect any class armor set from the Temple of Ahn'Qiraj.,Collections,15259,Collections > Appearances,10,131072,58566,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11746,Outlandish Style,"Collect any class armor set from Gruul's Lair, Karazhan, and Magtheridon's Lair.",Collections,15259,Collections > Appearances,10,131072,58570,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11747,Merely a Set,Collect any class armor set from Serpentshrine Cavern and The Eye.,Collections,15259,Collections > Appearances,10,131072,58572,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11748,Black is the New Black,Collect any class armor set from Black Temple.,Collections,15259,Collections > Appearances,10,131072,58574,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11749,"Suns Out, Thori'dals Out",Collect any class armor set from Sunwell Plateau.,Collections,15259,Collections > Appearances,10,131072,58576,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11750,Undying Aesthetic,Collect any class armor set from Naxxramas.,Collections,15259,Collections > Appearances,10,131072,58578,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11751,Mogg-Saron,Collect any class armor set from Ulduar.,Collections,15259,Collections > Appearances,10,131072,58580,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11752,Style of the Crusader,Collect any class armor set from Trial of the Crusader.,Collections,15259,Collections > Appearances,10,131072,58582,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11753,Winter Catalog,Collect any class armor set from Icecrown Citadel.,Collections,15259,Collections > Appearances,10,131072,58584,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11754,Glamour of Twilight,Collect any class armor set from The Bastion of Twilight and Blackwing Descent.,Collections,15259,Collections > Appearances,10,131072,58586,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11755,Hot Couture,Collect any class armor set from the Firelands.,Collections,15259,Collections > Appearances,10,131072,58588,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11756,Wardrobe of the Old Gods,Collect any class armor set from Dragon Soul.,Collections,15259,Collections > Appearances,10,131072,58590,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11757,Sha of Fabulous,Collect any class armor set from the Heart of Fear and Terrace of Endless Spring.,Collections,15259,Collections > Appearances,10,131072,58592,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11758,Thunderwear,Collect any class armor set from Throne of Thunder.,Collections,15259,Collections > Appearances,10,131072,58594,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11759,Yaass'shaarj,Collect any class armor set from the Siege of Orgrimmar.,Collections,15259,Collections > Appearances,10,131072,58596,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11760,Retro Trend,Collect any class armor set from the Tomb of Sargeras.,Collections,15259,Collections > Appearances,10,131072,58598,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11761,Azeroth's Next Top Model,Unlock a class armor set from 10 different raid tiers or PvP seasons.,Collections,15259,Collections > Appearances,20,131200,58604,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11762,Can I Get A Helya,Collect any class armor set from the Trial of Valor.,Collections,15259,Collections > Appearances,10,131072,58646,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,11987,Glory of the Argus Raider,"Complete the Antorus, the Burning Throne raid achievements listed below.",Dungeons & Raids,168,Dungeons & Raids,25,143360,60525,152815,Instances.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,12020,Argussy Up,"Collect any class armor set from Antorus, the Burning Throne.",Collections,15259,Collections > Appearances,10,131072,60845,0,Instances.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,12021,Claws Out,"Collect any class armor set from Legion PvP Season 5, 6, or 7.",Collections,15259,Collections > Appearances,10,131072,60847,0,PVP.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,12079,Raiding with Leashes V: Cuteaclysm,"Collect all of the battle pets listed below from Bastion of Twilight, Blackwing Descent, Throne of the Four Winds, Firelands, and Dragon Soul.",Pet Battles,15118,Pet Battles > Collect,10,131072,61417,152963,Instances.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,12100,Family Fighter,Complete the following achievements.,Pet Battles,15119,Pet Battles > Battle,10,135168,61779,153040,Zones.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,12604,Conqueror of Azeroth,Complete the World PvP achievements listed below.,Player vs. Player,15283,Player vs. Player > World,20,131072,67087,163577,ExpansionFeatures.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,12605,Conqueror of Azeroth,Complete the World PvP achievements listed below.,Player vs. Player,15283,Player vs. Player > World,20,131072,67932,163577,ExpansionFeatures.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,12806,Glory of the Uldir Raider,Complete the Uldir raid achievements listed below.,Dungeons & Raids,168,Dungeons & Raids,25,143360,67728,163216,Instances.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,12812,Glory of the Wartorn Hero,Complete the Battle for Azeroth Mythic dungeon achievements listed below.,Dungeons & Raids,168,Dungeons & Raids,25,143360,67742,161215,Instances.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,12866,100 Exalted Reputations,Raise 100 reputations to Exalted.,Reputation,201,Reputation,20,143488,72237,163982,Character.lua,reward_item_already_tracked
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,12894,Honor Level 10,Reach Honor Level 10.,Player vs. Player,15266,Player vs. Player > Honor,10,131072,68201,134026,PVP.lua,reward_item_already_tracked
