"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url","cataclysm_quest_ids","cataclysm_achievement_ids","cataclysm_npc_ids","cataclysm_recipe_spell_ids","cataclysm_drop_signal"
"2226","246409","Shadowforge Grinding Wheel","global_acquisition_match","acquisition_cataclysm_confirmed","cataclysm","quest","3 Shadowforge Grinding Wheel Accents › Misc Accents Welcome to the Brotherhood (Searing Gorge) Master Smith Burninate (Searing Gorge) 700","","28064","14624","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/2226/shadowforge-grinding-wheel-2226/","28064","","","","False"
"2239","246422","Thelsamar Hanging Lantern","global_acquisition_match","acquisition_cataclysm_confirmed","cataclysm","quest","1 Thelsamar Hanging Lantern Lighting › Ceiling Lights Axis of Awful (Loch Modan) Drac Roughcut (Thelsamar, Loch Modan) 285","","26868","1465","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/2239/thelsamar-hanging-lantern-2239/","26868","","","","False"
"2244","246427","Dilapidated Wildhammer Well","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","quest","5 Dilapidated Wildhammer Well Structural › Large Structures Eye Spy (Twilight Highlands) Breana Bitterbrand (Twilight Highlands) 1000","","28244","253227","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/2244/dilapidated-wildhammer-well-2244/","28244","","","","False"
"2245","246428","Overgrown Wildhammer Fountain","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","quest","5 Overgrown Wildhammer Fountain Structural › Large Structures Wild, Wild, Wildhammer Wedding (Twilight Highlands) Breana Bitterbrand (Twilight Highlands) 1500","","28655","253227","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/2245/overgrown-wildhammer-fountain-2245/","28655","","","","False"
"3867","247727","Iron Dragonmaw Gate","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","achievement","5 Iron Dragonmaw Gate Structural › Doors Master of Twin Peaks Joruh (Orgrimmar) 5000 Honor","5223","","254606","","1792","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/3867/iron-dragonmaw-gate-3867/","","5223","","","False"
"4401","248332","Stormwind Footlocker","global_acquisition_match","acquisition_cataclysm_confirmed","cataclysm","drop","1 Stormwind Footlocker Furnishings › Storage Drop: Deadmines Encounter: Vanessa VanCleef","","","","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/4401/stormwind-footlocker-4401/","","","","","True"
"4444","248618","Westfall Woven Basket","global_acquisition_match","acquisition_cataclysm_confirmed","cataclysm","quest","1 Westfall Woven Basket Accents › Ornamental You Have Our Thanks (Westfall) Captain Lancy Revshon (Stormwind City) 190","","26270","49877","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/4444/westfall-woven-basket-4444/","26270","","","","False"
"4447","248621","Stormwind Arched Trellis","global_acquisition_match","acquisition_cataclysm_confirmed","cataclysm","quest","3 Stormwind Arched Trellis Nature › Misc Nature Ending the Invasion! (Elwynn Forest, Blackrock Depths, Northshire) Captain Lancy Revshon (Stormwind City) 285","","26390","49877","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/4447/stormwind-arched-trellis-4447/","26390","","","","False"
"4814","248797","City Wanderer's Candleholder","global_acquisition_match","acquisition_cataclysm_confirmed","cataclysm","quest","1 City Wanderer's Candleholder Lighting › Small Lights ""I TAKE Candle!"" (Westfall) Captain Lancy Revshon (Stormwind City)","","26229","49877","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/4814/city-wanderers-candleholder-4814/","26229","","","","False"
"4819","248801","Stormwind Weapon Rack","global_acquisition_match","acquisition_cataclysm_confirmed","cataclysm","quest","1 Stormwind Weapon Rack Furnishings › Storage The Dawning of a New Day (Westfall) Captain Lancy Revshon (Stormwind City) 95","","26297","49877","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/4819/stormwind-weapon-rack-4819/","26297","","","","False"
"5342","249143","Smoke Sconce","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Smoke Sconce Lighting › Wall Lights Crafting: Jewelcrafting Profession: Cataclysm Jewelcrafting (60)","","","","1261305","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/5342/smoke-sconce-5342/","","","","1261305","False"
"11131","256331","Shadowforge Lamppost","global_acquisition_match","acquisition_cataclysm_confirmed","cataclysm","quest","3 Shadowforge Lamppost Lighting › Large Lights Return to Ariok (Burning Steppes) Return to Keeshan (Burning Steppes) +1 more source","","28183","","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11131/shadowforge-lamppost-11131/","28183","","","","False"
"11296","256896","Smoke Lamppost","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","achievement","5 Smoke Lamppost Lighting › Large Lights Battle for Gilneas Victory Joruh (Orgrimmar) 450 Honor +1 more source","5245","","254606","","1792","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11296/smoke-lamppost-11296/","","5245","","","False"
"11301","256903","Gilnean Banded Crate","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","quest","1 Gilnean Banded Crate Furnishings › Storage The Shredders of Irontree (Felwood)","","28337","","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11301/gilnean-banded-crate-11301/","28337","","","","False"
"11305","256905","Small Gilnean Table","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","quest","1 Small Gilnean Table Furnishings › Tables and Desks Morbent's Bane (Duskwood) Wilkinson (Duskwood) 175","","26754","44114","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11305/small-gilnean-table-11305/","26754","","","","False"
"11377","257042","Gilnean Pitchfork","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Gilnean Pitchfork Accents › Misc Accents Crafting: Blacksmithing Profession: Cataclysm Blacksmithing (60)","","","","1261256","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11377/gilnean-pitchfork-11377/","","","","1261256","False"
"11433","257095","Twilight Fire Canister","global_acquisition_match","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Twilight Fire Canister Accents › Ornamental Crafting: Enchanting Profession: Cataclysm Enchanting (60)","","","","1262318","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11433/twilight-fire-canister-11433/","","","","1262318","False"
"11492","257402","""Unity of Thorns"" Tapestry","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 ""Unity of Thorns"" Tapestry Accents › Wall Hangings Crafting: Tailoring Profession: Cataclysm Tailoring (60)","","","","1262370","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11492/unity-of-thorns-tapestry-11492/","","","","1262370","False"
"11494","257404","Pyrewood Glass Bottle","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Pyrewood Glass Bottle Accents › Ornamental Crafting: Enchanting Profession: Cataclysm Enchanting (60)","","","","1262331","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11494/pyrewood-glass-bottle-11494/","","","","1262331","False"
"11496","257406","Smoke Lamp","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Smoke Lamp Lighting › Wall Lights Crafting: Jewelcrafting Profession: Cataclysm Jewelcrafting (60)","","","","1262357","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11496/smoke-lamp-11496/","","","","1262357","False"
"11497","257409","Standing Smoke Lamp","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Standing Smoke Lamp Lighting › Large Lights Crafting: Blacksmithing Profession: Cataclysm Blacksmithing (60)","","","","1262308","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11497/standing-smoke-lamp-11497/","","","","1262308","False"
"11498","257412","Stoppered Gilnean Barrel","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","quest","1 Stoppered Gilnean Barrel Furnishings › Storage Pyrewood's Fall (Silverpine Forest) Edwin Harly (Silverpine Forest) 142 50","","27550","2140","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11498/stoppered-gilnean-barrel-11498/","27550","","","","False"
"11718","257689","Small Gilnean Windmill","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","5 Small Gilnean Windmill Structural › Large Structures Crafting: Engineering Profession: Cataclysm Engineering (60)","","","","1262340","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11718/small-gilnean-windmill-11718/","","","","1262340","False"
"11723","257694","Gilnean Green Potion","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Gilnean Green Potion Accents › Ornamental Crafting: Alchemy Profession: Cataclysm Alchemy (60)","","","","1269506","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11723/gilnean-green-potion-11723/","","","","1269506","False"
"11724","257695","Gilnean Postbox","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Gilnean Postbox Functional › Utility Crafting: Inscription Profession: Cataclysm Inscription (60)","","","","1269540","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11724/gilnean-postbox-11724/","","","","1269540","False"
"11725","257696","Gilnean Map","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Gilnean Map Accents › Wall Hangings Crafting: Inscription Profession: Cataclysm Inscription (60)","","","","1269534","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11725/gilnean-map-11725/","","","","1269534","False"
"11779","257806","Scaled Twilight Mosaic","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Scaled Twilight Mosaic Accents › Floor Crafting: Leatherworking Profession: Cataclysm Leatherworking (60)","","","","1269550","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11779/scaled-twilight-mosaic-11779/","","","","1269550","False"
"16013","264677","Rolled Scarab Rug","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","3 Rolled Scarab Rug Accents › Floor Crafting: Leatherworking Profession: Cataclysm Leatherworking (60)","","","","1272588","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/16013/rolled-scarab-rug-16013/","","","","1272588","False"
"16089","264712","Gilnean Spare Saddle","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Gilnean Spare Saddle Accents › Misc Accents Crafting: Leatherworking Profession: Cataclysm Leatherworking (60)","","","","1272580","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/16089/gilnean-spare-saddle-16089/","","","","1272580","False"
