"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url"
"11497","257409","Standing Smoke Lamp","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Standing Smoke Lamp Lighting › Large Lights Crafting: Blacksmithing Profession: Cataclysm Blacksmithing (60)","","","","1262308","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11497/standing-smoke-lamp-11497/"
"11498","257412","Stoppered Gilnean Barrel","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","quest","1 Stoppered Gilnean Barrel Furnishings › Storage Pyrewood's Fall (Silverpine Forest) Edwin Harly (Silverpine Forest) 142 50","","27550","2140","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11498/stoppered-gilnean-barrel-11498/"
"11718","257689","Small Gilnean Windmill","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","5 Small Gilnean Windmill Structural › Large Structures Crafting: Engineering Profession: Cataclysm Engineering (60)","","","","1262340","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11718/small-gilnean-windmill-11718/"
"11723","257694","Gilnean Green Potion","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Gilnean Green Potion Accents › Ornamental Crafting: Alchemy Profession: Cataclysm Alchemy (60)","","","","1269506","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11723/gilnean-green-potion-11723/"
"11724","257695","Gilnean Postbox","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Gilnean Postbox Functional › Utility Crafting: Inscription Profession: Cataclysm Inscription (60)","","","","1269540","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11724/gilnean-postbox-11724/"
"11725","257696","Gilnean Map","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Gilnean Map Accents › Wall Hangings Crafting: Inscription Profession: Cataclysm Inscription (60)","","","","1269534","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11725/gilnean-map-11725/"
"11779","257806","Scaled Twilight Mosaic","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Scaled Twilight Mosaic Accents › Floor Crafting: Leatherworking Profession: Cataclysm Leatherworking (60)","","","","1269550","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11779/scaled-twilight-mosaic-11779/"
"11944","258301","Gilnean Washing Line","cataclysm_theme","acquisition_dragonflight_confirmed","dragonflight","vendor","1 Gilnean Washing Line Accents › Ornamental Marie Allen (Stormglen Village, Gilneas) 125 Samantha Buckley (Ruins of Gilneas)","","","211065;216888","","","","Current acquisition requires Reclamation of Gilneas content added in Dragonflight","https://housing.wowdb.com/decor/11944/gilnean-washing-line-11944/"
"15740","264476","[DNT] 12PH_Leg_Worgen_Bench_02.M2","cataclysm_theme","internal_dnt","","vendor","3 [DNT] 12PH_Leg_Worgen_Bench_02.M2 Furnishings › Seating","","","","","","","Internal DNT, duplicate, or do-not-use catalog row","https://housing.wowdb.com/decor/15740/dnt-12ph_leg_worgen_bench_02m2-15740/"
"16013","264677","Rolled Scarab Rug","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","3 Rolled Scarab Rug Accents › Floor Crafting: Leatherworking Profession: Cataclysm Leatherworking (60)","","","","1272588","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/16013/rolled-scarab-rug-16013/"
"16089","264712","Gilnean Spare Saddle","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Gilnean Spare Saddle Accents › Misc Accents Crafting: Leatherworking Profession: Cataclysm Leatherworking (60)","","","","1272580","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/16089/gilnean-spare-saddle-16089/"
"16219","264899","Arakkoan Alchemist's Concoction","cataclysm_theme","acquisition_tbc_confirmed","tbc","crafted","1 Arakkoan Alchemist's Concoction Accents › Ornamental Crafting: Alchemy Profession: Outland Alchemy (60)","","","","1273070","","","Current acquisition requires Outland Alchemy","https://housing.wowdb.com/decor/16219/arakkoan-alchemists-concoction-16219/"
"16220","264900","Arakkoan Alchemist's Bottle","cataclysm_theme","acquisition_tbc_confirmed","tbc","crafted","1 Arakkoan Alchemist's Bottle Accents › Ornamental Crafting: Alchemy Profession: Outland Alchemy (60)","","","","1273064","","","Current acquisition requires Outland Alchemy","https://housing.wowdb.com/decor/16220/arakkoan-alchemists-bottle-16220/"
"21081","269616","[DNT] [AUTOGEN] ULDUM_CROPS_SUGARCANE01.M2","cataclysm_theme","internal_dnt","","vendor","1 [DNT] [AUTOGEN] ULDUM_CROPS_SUGARCANE01.M2 Nature › Small Foliage","","","","","","","Internal DNT, duplicate, or do-not-use catalog row","https://housing.wowdb.com/decor/21081/dnt-autogen-uldum_crops_sugarcane01m2-21081/"
"21082","269617","[DNT] [AUTOGEN] ULDUM_CROPS_SUGARCANE06.M2","cataclysm_theme","internal_dnt","","vendor","1 [DNT] [AUTOGEN] ULDUM_CROPS_SUGARCANE06.M2 Nature › Small Foliage","","","","","","","Internal DNT, duplicate, or do-not-use catalog row","https://housing.wowdb.com/decor/21082/dnt-autogen-uldum_crops_sugarcane06m2-21082/"
"21083","269618","[DNT] [AUTOGEN] ULDUM_CROPS_SUGARCANEROW03.M2","cataclysm_theme","internal_dnt","","vendor","3 [DNT] [AUTOGEN] ULDUM_CROPS_SUGARCANEROW03.M2 Nature › Small Foliage","","","","","","","Internal DNT, duplicate, or do-not-use catalog row","https://housing.wowdb.com/decor/21083/dnt-autogen-uldum_crops_sugarcanerow03m2-21083/"
"21084","269619","[DNT] [AUTOGEN] ULDUM_CROPS_SUGARCANEROW04.M2","cataclysm_theme","internal_dnt","","vendor","3 [DNT] [AUTOGEN] ULDUM_CROPS_SUGARCANEROW04.M2 Nature › Small Foliage","","","","","","","Internal DNT, duplicate, or do-not-use catalog row","https://housing.wowdb.com/decor/21084/dnt-autogen-uldum_crops_sugarcanerow04m2-21084/"
"26478","280236","Ancient Memories of the Sea","cataclysm_theme","acquisition_midnight_confirmed","midnight","vendor","5 Ancient Memories of the Sea Lighting › Misc Lighting Taifa (Razorwind Shores)","","","268106","","","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/26478/ancient-memories-of-the-sea-26478/"
"27044","280846","Beguiling Memories of the Sea","cataclysm_theme","acquisition_midnight_confirmed","midnight","vendor","5 Beguiling Memories of the Sea Lighting › Wall Lights Taifa (Razorwind Shores)","","","268106","","","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/27044/beguiling-memories-of-the-sea-27044/"
