"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url","wrath_quest_ids","wrath_achievement_ids","wrath_recipe_spell_ids","wrath_text_signal"
"11892","258204","Dalaran Post","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","1 Dalaran Post Miscellaneous › Miscellaneous - All Crafting: Inscription Profession: Northrend Inscription (60)","","","","1263575","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11892/dalaran-post-11892/","","","1263575","False"
"11893","258205","Wolvar Postbag","global_acquisition_match","acquisition_wrath_confirmed","wrath","crafted","1 Wolvar Postbag Functional › Utility Crafting: Leatherworking Profession: Northrend Leatherworking (60)","","","","1263613","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11893/wolvar-postbag-11893/","","","1263613","False"
"11894","258206","Gilded Dalaran Banner","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","3 Gilded Dalaran Banner Accents › Wall Hangings Crafting: Tailoring Profession: Northrend Tailoring (60)","","","","1263620","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11894/gilded-dalaran-banner-11894/","","","1263620","False"
"11895","258207","Dalaran Scholar's Bookcase","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","3 Dalaran Scholar's Bookcase Furnishings › Storage Crafting: Inscription Profession: Northrend Inscription (60)","","","","1263570","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11895/dalaran-scholars-bookcase-11895/","","","1263570","False"
"11896","258208","Kirin Tor Sun Chandelier","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","3 Kirin Tor Sun Chandelier Lighting › Ceiling Lights Crafting: Jewelcrafting Profession: Northrend Jewelcrafting (60)","","","","1263605","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11896/kirin-tor-sun-chandelier-11896/","","","1263605","False"
"11897","258209","Kirin Tor Crate","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","1 Kirin Tor Crate Furnishings › Storage Crafting: Inscription Profession: Northrend Inscription (60)","","","","1263574","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11897/kirin-tor-crate-11897/","","","1263574","False"
"11898","258210","Dalaran Street Sign","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","1 Dalaran Street Sign Accents › Misc Accents Crafting: Inscription Profession: Northrend Inscription (60)","","","","1263564","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11898/dalaran-street-sign-11898/","","","1263564","False"
"11899","258211","Kirin Tor Glass Table","global_acquisition_match","acquisition_wrath_confirmed","wrath","crafted","3 Kirin Tor Glass Table Furnishings › Tables and Desks Crafting: Jewelcrafting Profession: Northrend Jewelcrafting (60)","","","","1263577","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11899/kirin-tor-glass-table-11899/","","","1263577","False"
"11900","258212","San'layn Blood Orb","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","3 San'layn Blood Orb Accents › Ornamental Crafting: Alchemy Profession: Northrend Alchemy (60)","","","","1263558","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11900/sanlayn-blood-orb-11900/","","","1263558","False"
"11901","258213","Icecrown Plague Canister","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","5 Icecrown Plague Canister Furnishings › Storage Crafting: Alchemy Profession: Northrend Alchemy (60)","","","","1263559","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11901/icecrown-plague-canister-11901/","","","1263559","False"
"11906","258220","Murloc Driftwood Hut","global_acquisition_match","acquisition_wrath_confirmed","wrath","quest","5 Murloc Driftwood Hut Structural › Large Structures Surrender... Not! (Borean Tundra) Ahlurglgr (Borean Tundra)","","11566","25206","","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11906/murloc-driftwood-hut-11906/","11566","","","False"
"11941","258298","Kirin Tor Skyline Banner","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","3 Kirin Tor Skyline Banner Accents › Wall Hangings Crafting: Tailoring Profession: Northrend Tailoring (60)","","","","1263627","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11941/kirin-tor-skyline-banner-11941/","","","1263627","False"
"16012","264676","Dalaran Sewer Gate","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","5 Dalaran Sewer Gate Structural › Doors Crafting: Blacksmithing Profession: Northrend Blacksmithing (60)","","","","1272662","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/16012/dalaran-sewer-gate-16012/","","","1272662","False"
"16084","264707","Resizable All-Purpose Gear","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","3 Resizable All-Purpose Gear Accents › Wall Hangings Crafting: Engineering Profession: Northrend Engineering (60)","","","","1272707","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/16084/resizable-all-purpose-gear-16084/","","","1272707","False"
"16085","264708","Home Defense Gadget","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","1 Home Defense Gadget Accents › Wall Hangings Crafting: Engineering Profession: Northrend Engineering (60)","","","","1272688","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/16085/home-defense-gadget-16085/","","","1272688","False"
"16087","264710","Dalaran Sun Sconce","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","1 Dalaran Sun Sconce Lighting › Wall Lights Crafting: Blacksmithing Profession: Northrend Blacksmithing (60)","","","","1272614","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/16087/dalaran-sun-sconce-16087/","","","1272614","False"
"16088","264711","Joybuzz's Joyful Wall of Trains","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","5 Joybuzz's Joyful Wall of Trains Accents › Wall Hangings Crafting: Engineering Profession: Northrend Engineering (60)","","","","1272676","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/16088/joybuzzs-joyful-wall-of-trains-16088/","","","1272676","False"
"18483","267007","Eye of Acherus","wrath_theme","acquisition_wrath_confirmed","wrath","drop","5 Eye of Acherus Accents › Ornamental Encounter: Scourgelord Tyrannus (Pit of Saron)","","","","","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/18483/eye-of-acherus-18483/","","","","True"
"25104","277155","Breanni's Menagerie Aquarium","wrath_theme","internal_hidden","","vendor","5 Breanni's Menagerie Aquarium Uncategorized › Uncategorized","","","","","","","Hidden catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/25104/breannis-menagerie-aquarium-25104/","","","","False"
"25336","277927","Yellowed Kelp Pile","wrath_theme","acquisition_midnight_confirmed","midnight","vendor","3 Yellowed Kelp Pile Accents › Floor Second Mate Sluggs (The Coiled Isle) 250 Voidlight Marl","","","257598","","3316","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/25336/yellowed-kelp-pile-25336/","","","","False"
