decor_id,catalog_name,status,acquisition_expansion,source_text,achievement_ids,quest_ids,npc_ids,spell_ids,currency_ids,classification_note,acquisition_source_url
"1119","Loch Modan Bearskin Rug","acquisition_vanilla_confirmed","vanilla","Crafting: Leatherworking Profession: Classic Leatherworking (240)","","","","1261672","","Displayed acquisition source is vanilla content","https://housing.wowdb.com/decor/1119/loch-modan-bearskin-rug-1119/"
"1120","Replica Dark Iron Mole Machine","acquisition_vanilla_confirmed","vanilla","Plugger Spazzring (Blackrock Depths)","","","144129","","","Displayed acquisition source is vanilla content","https://housing.wowdb.com/decor/1120/replica-dark-iron-mole-machine-1120/"
"1173","Gemmed Eversong Lantern","acquisition_midnight_confirmed","midnight","Sathren Azuredawn (Eversong Woods) 250 Voidlight Marl","","","259864","","3316","Displayed acquisition source is a Midnight zone, housing vendor, quest, or currency","https://housing.wowdb.com/decor/1173/gemmed-eversong-lantern-1173/"
"1176","Circular Silvermoon Table","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/1176/circular-silvermoon-table-1176/"
"1177","Blood Elven Candelabra","acquisition_dragonflight_confirmed","dragonflight","Cataloger Jakes (Dragonscale Basecamp) 400 Dragon Isles Supplies Rae'ana (Dragonscale Basecamp) 400 Dragon Isles Supplies","","","188265;189226","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/1177/blood-elven-candelabra-1177/"
"1181","Rectangular Sin'dorei Rug","acquisition_dragonflight_confirmed","dragonflight","Cataloger Jakes (Dragonscale Basecamp) 250 Dragon Isles Supplies Rae'ana (Dragonscale Basecamp) 250 Dragon Isles Supplies","","","188265;189226","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/1181/rectangular-sindorei-rug-1181/"
"1190","Sin'dorei Display Case","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/1190/sindorei-display-case-1190/"
"1195","Silvermoon Library Bookcase","acquisition_midnight_confirmed","midnight","Sathren Azuredawn (Eversong Woods) 250 Voidlight Marl","","","259864","","3316","Displayed acquisition source is a Midnight zone, housing vendor, quest, or currency","https://housing.wowdb.com/decor/1195/silvermoon-library-bookcase-1195/"
"1198","Long Silvermoon Table","acquisition_midnight_confirmed","midnight","Caeris Fairdawn (Eversong Woods) 250 Voidlight Marl","","","240838","","3316","Displayed acquisition source is a Midnight zone, housing vendor, quest, or currency","https://housing.wowdb.com/decor/1198/long-silvermoon-table-1198/"
"1236","Enchanted Blood Elven Candelabra","acquisition_midnight_confirmed","midnight","Dethelin (Silvermoon City) 3000 Resonance Crystals Materialist Ophinell (Twilight Highlands) 50 Twilight's Blade Insignia","","","249196;250982","","2815;3319","Displayed acquisition source is a Midnight zone, housing vendor, quest, or currency","https://housing.wowdb.com/decor/1236/enchanted-blood-elven-candelabra-1236/"
"1446","Silvermoon Painter's Cushion","acquisition_midnight_confirmed","midnight","Ever Painting Hesta Forlath (Silvermoon City) 150","62185","","252916","","","Displayed acquisition source is a Midnight zone, housing vendor, quest, or currency","https://housing.wowdb.com/decor/1446/silvermoon-painters-cushion-1446/"
"1447","Small Silvermoon Seat Cushion","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/1447/small-silvermoon-seat-cushion-1447/"
"1448","Triangular Silvermoon Seat Cushion","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/1448/triangular-silvermoon-seat-cushion-1448/"
"1449","Circular Silvermoon Seat Cushion","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/1449/circular-silvermoon-seat-cushion-1449/"
"1450","Silvermoon Pillow Roll","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/1450/silvermoon-pillow-roll-1450/"
"1834","Bel'ameth Bench","acquisition_dragonflight_confirmed","dragonflight","Ellandrieth (Amirdrassil) 350 Dragon Isles Supplies","","","216285","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/1834/belameth-bench-1834/"
"1888","Bel'ameth Barrel","acquisition_dragonflight_confirmed","dragonflight","Ellandrieth (Amirdrassil) 250 Dragon Isles Supplies","","","216285","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/1888/belameth-barrel-1888/"
"1987","Bel'ameth Wooden Table","acquisition_dragonflight_confirmed","dragonflight","Ellandrieth (Amirdrassil) 350 Dragon Isles Supplies","","","216285","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/1987/belameth-wooden-table-1987/"
"1989","Bel'ameth Crafter's Tent","acquisition_dragonflight_confirmed","dragonflight","Mythrin'dir (Amirdrassil) 500 Dragon Isles Supplies","","","216284","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/1989/belameth-crafters-tent-1989/"
"1990","Small Bel'ameth Tent","acquisition_dragonflight_confirmed","dragonflight","Ellandrieth (Amirdrassil) 500 Dragon Isles Supplies","","","216285","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/1990/small-belameth-tent-1990/"
"2469","Elegant Dracthyr's Tea Cup","acquisition_dragonflight_confirmed","dragonflight","Warm Away These Shivers (The Azure Span) Silvrath (Valdrakken) 100 Dragon Isles Supplies","","67047","253067","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/2469/elegant-dracthyrs-tea-cup-2469/"
"2529","Open Tome of the Dragon's Dedication","acquisition_dragonflight_confirmed","dragonflight","A Last Hope Caretaker Azkra (The Waking Shores) +1 more source","","66001","190155","","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/2529/open-tome-of-the-dragons-dedication-2529/"
"2530","Tome of the Lost Dragon","acquisition_legion_confirmed","legion","The Head of the Snake (Azsuna) Berazus (Azsuna) 300 Order Resources","","37470","89939","","1220","Displayed acquisition source is legion content","https://housing.wowdb.com/decor/2530/tome-of-the-lost-dragon-2530/"
"2531","Tome of Reliquary Insights","acquisition_legion_confirmed","legion","Encounter: Viz'aduum the Watcher (Karazhan)","","","","","","Displayed acquisition source is legion content","https://housing.wowdb.com/decor/2531/tome-of-reliquary-insights-2531/"
"2593","Drake Kebab Platter","acquisition_dragonflight_confirmed","dragonflight","Crafting: Cooking Profession: Dragon Isles Cooking (80)","","","","1266555","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/2593/drake-kebab-platter-2593/"
"2594","Roast Riverbeast Platter","acquisition_dragonflight_confirmed","dragonflight","10,000 Years of Roasting (The Waking Shores) Silvrath (Valdrakken) 175 Dragon Isles Supplies","","67063","253067","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/2594/roast-riverbeast-platter-2594/"
"2595","Valdrakken Blossomfruit Platter","acquisition_dragonflight_confirmed","dragonflight","Crafting: Cooking Profession: Dragon Isles Cooking (80)","","","","1260331","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/2595/valdrakken-blossomfruit-platter-2595/"
"2596","Bruffalon Rib Platter","acquisition_dragonflight_confirmed","dragonflight","Crafting: Cooking Profession: Dragon Isles Cooking (80)","","","","1260333","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/2596/bruffalon-rib-platter-2596/"
"4159","Draconic Stone Table","acquisition_dragonflight_confirmed","dragonflight","Silvrath (Valdrakken) 300 Dragon Isles Supplies Unatos (Valdrakken) 300 Dragon Isles Supplies","","","193015;253067","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4159/draconic-stone-table-4159/"
"4160","Pentagonal Stone Table","acquisition_dragonflight_confirmed","dragonflight","A Blue Dawn Silvrath (Valdrakken) 150 Dragon Isles Supplies","17773","","253067","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4160/pentagonal-stone-table-4160/"
"4161","Valdrakken Sconce","acquisition_dragonflight_confirmed","dragonflight","Fringe Benefits Ironus Coldsteel (Eon's Fringe, Thaldraszus) 150 Dragon Isles Supplies","19507","","209220","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4161/valdrakken-sconce-4161/"
"4162","Valdrakken Banded Barrel","acquisition_dragonflight_confirmed","dragonflight","Crafting: Inscription Profession: Dragon Isles Inscription (80)","","","","1259441","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4162/valdrakken-banded-barrel-4162/"
"4163","Valdrakken Storage Crate","acquisition_dragonflight_confirmed","dragonflight","Crafting: Inscription Profession: Dragon Isles Inscription (80)","","","","1259451","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4163/valdrakken-storage-crate-4163/"
"4164","Long Valdrakken Storage Crate","acquisition_dragonflight_confirmed","dragonflight","Crafting: Inscription Profession: Dragon Isles Inscription (80)","","","","1259461","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4164/long-valdrakken-storage-crate-4164/"
"4165","Valdrakken Fence","acquisition_dragonflight_confirmed","dragonflight","Crafting: Jewelcrafting Profession: Dragon Isles Jewelcrafting (80)","","","","1259384","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4165/valdrakken-fence-4165/"
"4166","Valdrakken Fencepost","acquisition_dragonflight_confirmed","dragonflight","Crafting: Jewelcrafting Profession: Dragon Isles Jewelcrafting (80)","","","","1259386","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4166/valdrakken-fencepost-4166/"
"4167","Verdant Valdrakken Vase","acquisition_dragonflight_confirmed","dragonflight","Crafting: Alchemy Profession: Dragon Isles Alchemy (80)","","","","1261885","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4167/verdant-valdrakken-vase-4167/"
"4168","Valdrakken Garden Fountain","acquisition_dragonflight_confirmed","dragonflight","Silvrath (Valdrakken) 400 Dragon Isles Supplies Unatos (Valdrakken) 400 Dragon Isles Supplies","","","193015;253067","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4168/valdrakken-garden-fountain-4168/"
"4169","Thaldraszus Telescope","acquisition_dragonflight_confirmed","dragonflight","Crafting: Engineering Profession: Dragon Isles Engineering (80)","","","","1259404","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4169/thaldraszus-telescope-4169/"
"4170","Draconic Nesting Bed","acquisition_dragonflight_confirmed","dragonflight","Crafting: Leatherworking Profession: Dragon Isles Leatherworking (80)","","","","1259195","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4170/draconic-nesting-bed-4170/"
"4172","Valdrakken Chandelier","acquisition_dragonflight_confirmed","dragonflight","Draconic Decor (Stormwind City, Orgrimmar, Dornogal) Second Chair Pawdo (Dornogal)","","","252312","","","Draconic Decor requires a Valdrakken purchase; reward ownership follows Dragonflight acquisition content","https://housing.wowdb.com/decor/4172/valdrakken-chandelier-4172/"
"4173","Studious Dracthyr's Tomes","acquisition_dragonflight_confirmed","dragonflight","Provisioner Aristta (Thaldraszus) 4000 Mysterious Fragment","","","209192","","2657","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4173/studious-dracthyrs-tomes-4173/"
"4174","Literature of the Blue Dragonflight","acquisition_dragonflight_confirmed","dragonflight","Crafting: Inscription Profession: Dragon Isles Inscription (80)","","","","1259422","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4174/literature-of-the-blue-dragonflight-4174/"
"4175","Literature of the Green Dragonflight","acquisition_dragonflight_confirmed","dragonflight","Crafting: Inscription Profession: Dragon Isles Inscription (80)","","","","1259433","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4175/literature-of-the-green-dragonflight-4175/"
"4176","Literature of the Red Dragonflight","acquisition_dragonflight_confirmed","dragonflight","Crafting: Inscription Profession: Dragon Isles Inscription (80)","","","","1259429","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4176/literature-of-the-red-dragonflight-4176/"
"4177","Draconic Circular Rug","acquisition_dragonflight_confirmed","dragonflight","Crafting: Tailoring Profession: Dragon Isles Tailoring (80)","","","","1259247","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4177/draconic-circular-rug-4177/"
"4180","The Great Hoard","acquisition_dragonflight_confirmed","dragonflight","A World Awoken Evantkis (Valdrakken) 7500 Dragon Isles Supplies","19458","","199605","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4180/the-great-hoard-4180/"
"4423","Ornamental Kaldorei Glaive","acquisition_dragonflight_confirmed","dragonflight","Honor of the Goddess (Felwood, Stormwind City) Ellandrieth (Amirdrassil) 500 Dragon Isles Supplies","","76213","216285","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4423/ornamental-kaldorei-glaive-4423/"
"4477","Draconic Memorial Stone","acquisition_dragonflight_confirmed","dragonflight","Archives Return (Thaldraszus) Silvrath (Valdrakken) 600 Dragon Isles Supplies","","72935","253067","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4477/draconic-memorial-stone-4477/"
"4478","Dragon's Grand Mirror","acquisition_dragonflight_confirmed","dragonflight","Silvrath (Valdrakken) 250 Dragon Isles Supplies Unatos (Valdrakken) 250 Dragon Isles Supplies","","","193015;253067","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4478/dragons-grand-mirror-4478/"
"4479","Valdrakken Stone Stool","acquisition_dragonflight_confirmed","dragonflight","A Helping Claw (The Azure Span) Silvrath (Valdrakken) 50 Dragon Isles Supplies","","71097","253067","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4479/valdrakken-stone-stool-4479/"
"4480","Valdrakken Gilded Throne","acquisition_dragonflight_confirmed","dragonflight","Crafting: Jewelcrafting Profession: Dragon Isles Jewelcrafting (80)","","","","1259369","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4480/valdrakken-gilded-throne-4480/"
"4481","Elegant Dracthyr's Tea Set","acquisition_dragonflight_confirmed","dragonflight","To Cook With Finery (Valdrakken) Silvrath (Valdrakken) 200 Dragon Isles Supplies","","70880","253067","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4481/elegant-dracthyrs-tea-set-4481/"
"4482","Dragon's Hoard Chest","acquisition_dragonflight_confirmed","dragonflight","Forbidden Spoils Jolinth (The Forbidden Reach) 1500 Elemental Overflow","17529","","253086","","2118","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4482/dragons-hoard-chest-4482/"
"4483","Valdrakken Market Tent","acquisition_dragonflight_confirmed","dragonflight","Crafting: Leatherworking Profession: Dragon Isles Leatherworking (80)","","","","1259233","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/4483/valdrakken-market-tent-4483/"
"4819","Stormwind Weapon Rack","acquisition_cata_confirmed","cata","The Dawning of a New Day (Westfall) Captain Lancy Revshon (Stormwind City) 95","","26297","49877","","","Displayed acquisition source is cata content","https://housing.wowdb.com/decor/4819/stormwind-weapon-rack-4819/"
"4839","Nesingwary Mounted Shoveltusk Head","acquisition_wrath_confirmed","wrath","The Snows of Northrend Purser Boulian (Sholazar Basin) 500","938","","28038","","","Displayed acquisition source is wrath content","https://housing.wowdb.com/decor/4839/nesingwary-mounted-shoveltusk-head-4839/"
"4841","Nesingwary Mounted Elk Head","acquisition_vanilla_confirmed","vanilla","The Green Hills of Stranglethorn Jaquilina Dramet (Stranglethorn Vale) 450","940","","2483","","","Displayed acquisition source is vanilla content","https://housing.wowdb.com/decor/4841/nesingwary-mounted-elk-head-4841/"
"5556","Preserver's Censer","acquisition_dragonflight_confirmed","dragonflight","Tethalash (Valdrakken) 250","","","196637","","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/5556/preservers-censer-5556/"
"5557","Dracthyr Weapon Rack","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/5557/dracthyr-weapon-rack-5557/"
"5558","Evoker's Elegant Rug","acquisition_dragonflight_confirmed","dragonflight","Tethalash (Valdrakken) 250","","","196637","","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/5558/evokers-elegant-rug-5558/"
"5559","Augmenter's Opal Banner","acquisition_dragonflight_confirmed","dragonflight","Tethalash (Valdrakken) 250","","","196637","","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/5559/augmenters-opal-banner-5559/"
"5560","Draconic Crafter's Table","acquisition_dragonflight_confirmed","dragonflight","Augmenting a Dragon (The Forbidden Reach) Tethalash (Valdrakken) 300 & 200 Dragon Isles Supplies","","","196637","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/5560/draconic-crafters-table-5560/"
"5689","Devastator's Brazier","acquisition_dragonflight_confirmed","dragonflight","Tethalash (Valdrakken) 250","","","196637","","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/5689/devastators-brazier-5689/"
"7668","Forbidden Fork","acquisition_midnight_confirmed","midnight","Hordranin (Founder's Point) 5 Community Coupons","","","250820","","3363","Displayed acquisition source is a Midnight zone, housing vendor, quest, or currency","https://housing.wowdb.com/decor/7668/forbidden-fork-7668/"
"7691","Draconic Metalshaper's Anvil","acquisition_midnight_confirmed","midnight","Hordranin (Founder's Point) 15 Community Coupons","","","250820","","3363","Displayed acquisition source is a Midnight zone, housing vendor, quest, or currency","https://housing.wowdb.com/decor/7691/draconic-metalshapers-anvil-7691/"
"7692","Replica Grathardormu's Hammer","acquisition_midnight_confirmed","midnight","Hordranin (Founder's Point) 10 Community Coupons","","","250820","","3363","Displayed acquisition source is a Midnight zone, housing vendor, quest, or currency","https://housing.wowdb.com/decor/7692/replica-grathardormus-hammer-7692/"
"7693","Green Thumb's Watering Can","acquisition_midnight_confirmed","midnight","Hordranin (Founder's Point) 10 Community Coupons","","","250820","","3363","Displayed acquisition source is a Midnight zone, housing vendor, quest, or currency","https://housing.wowdb.com/decor/7693/green-thumbs-watering-can-7693/"
"7694","Draconic Auctioneer's Lectern","acquisition_midnight_confirmed","midnight","Hordranin (Founder's Point) 10 Community Coupons","","","250820","","3363","Displayed acquisition source is a Midnight zone, housing vendor, quest, or currency","https://housing.wowdb.com/decor/7694/draconic-auctioneers-lectern-7694/"
"7695","Obsidian Warder Pennant","acquisition_midnight_confirmed","midnight","Hordranin (Founder's Point) 10 Community Coupons","","","250820","","3363","Displayed acquisition source is a Midnight zone, housing vendor, quest, or currency","https://housing.wowdb.com/decor/7695/obsidian-warder-pennant-7695/"
"7696","Dark Talon Pennant","acquisition_midnight_confirmed","midnight","Hordranin (Founder's Point) 10 Community Coupons","","","250820","","3363","Displayed acquisition source is a Midnight zone, housing vendor, quest, or currency","https://housing.wowdb.com/decor/7696/dark-talon-pennant-7696/"
"7697","Roasted Ram Leg","acquisition_midnight_confirmed","midnight","Hordranin (Founder's Point) 5 Community Coupons","","","250820","","3363","Displayed acquisition source is a Midnight zone, housing vendor, quest, or currency","https://housing.wowdb.com/decor/7697/roasted-ram-leg-7697/"
"7698","Draconic Trader's Cart","acquisition_midnight_confirmed","midnight","Hordranin (Founder's Point) 20 Community Coupons","","","250820","","3363","Displayed acquisition source is a Midnight zone, housing vendor, quest, or currency","https://housing.wowdb.com/decor/7698/draconic-traders-cart-7698/"
"7699","Artisan's Measuring Scales","acquisition_midnight_confirmed","midnight","Hordranin (Founder's Point) 5 Community Coupons","","","250820","","3363","Displayed acquisition source is a Midnight zone, housing vendor, quest, or currency","https://housing.wowdb.com/decor/7699/artisans-measuring-scales-7699/"
"7700","War Creche Teaching Crystal","acquisition_midnight_confirmed","midnight","Hordranin (Founder's Point) 10 Community Coupons","","","250820","","3363","Displayed acquisition source is a Midnight zone, housing vendor, quest, or currency","https://housing.wowdb.com/decor/7700/war-creche-teaching-crystal-7700/"
"7701","Ancient Weyrn Device","acquisition_midnight_confirmed","midnight","Hordranin (Founder's Point) 15 Community Coupons","","","250820","","3363","Displayed acquisition source is a Midnight zone, housing vendor, quest, or currency","https://housing.wowdb.com/decor/7701/ancient-weyrn-device-7701/"
"7835","Draconic Crafter's Forge","acquisition_dragonflight_confirmed","dragonflight","On New Wings (The Azure Span) Provisioner Thom (Valdrakken) 600 Dragon Isles Supplies","","","193659","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/7835/draconic-crafters-forge-7835/"
"9261","Reliquary Tent","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/9261/reliquary-tent-9261/"
"9263","Horde Warlord's Throne","acquisition_mop_confirmed","mop","Encounter: Garrosh Hellscream (Siege of Orgrimmar)","","","","","","Displayed acquisition source is mop content","https://housing.wowdb.com/decor/9263/horde-warlords-throne-9263/"
"9425","Iskaaran Open-Air Tent","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/9425/iskaaran-open-air-tent-9425/"
"9426","Iskaaran Smith's Anvil","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/9426/iskaaran-smiths-anvil-9426/"
"9427","Iskaaran Cookpot","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/9427/iskaaran-cookpot-9427/"
"9428","Iskaaran Hanging Lampfish","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/9428/iskaaran-hanging-lampfish-9428/"
"9429","Iskaaran Hanging Lantern","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/9429/iskaaran-hanging-lantern-9429/"
"9430","Iskaaran Standing Lantern","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/9430/iskaaran-standing-lantern-9430/"
"9431","Tuskarr Meditative Incense Burner","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/9431/tuskarr-meditative-incense-burner-9431/"
"9432","Tuskarr Crabber's Basket","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/9432/tuskarr-crabbers-basket-9432/"
"9433","Fur-Adorned Iskaaran Worktable","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/9433/fur-adorned-iskaaran-worktable-9433/"
"9434","Tuskarr Postbag","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/9434/tuskarr-postbag-9434/"
"9435","Finned Iskaaran Teapot","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/9435/finned-iskaaran-teapot-9435/"
"9436","Iskaaran Charcuterie Board","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/9436/iskaaran-charcuterie-board-9436/"
"9437","Big Kinook's Legendary Soup Pot","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/9437/big-kinooks-legendary-soup-pot-9437/"
"9438","Arch of Iskaara","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/9438/arch-of-iskaara-9438/"
"10888","Moonclasp Satchel","acquisition_dragonflight_confirmed","dragonflight","Celestine of the Harvest (All Dragonflight Zones, moves with the Dreamsurge Event) 500 Dreamsurge Coalescence","","","210608","","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/10888/moonclasp-satchel-10888/"
"10962","Draconic Sconce","acquisition_dragonflight_confirmed","dragonflight","Second Chair Pawdo (Dornogal) Unatos (Valdrakken) 10 Dragon Isles Supplies","","","193015;252312","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/10962/draconic-sconce-10962/"
"10963","Valdrakken Oven","acquisition_dragonflight_confirmed","dragonflight","Silvrath (Valdrakken) 500 Dragon Isles Supplies Unatos (Valdrakken) 500 Dragon Isles Supplies","","","193015;253067","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/10963/valdrakken-oven-10963/"
"10964","Draconic Scribe's Basin","acquisition_dragonflight_confirmed","dragonflight","Crafting: Enchanting Profession: Dragon Isles Enchanting (80)","","","","1261933","","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/10964/draconic-scribes-basin-10964/"
